step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,79936,64,0.02251841326032705,0.0,0.0,0.022419019429089308,0.0,0.0,,,,,,
2,142464,128,0.023863536999738772,0.0,0.0,,,,,,,,,
3,238272,192,0.012281050379908906,0.0,0.0,,,,,,,,,
4,296192,256,0.014439780142351324,0.0,0.0,,,,,,,,,
5,380736,320,0.009827784562075347,0.328125,0.328125,,,,,,,,,
6,453504,384,0.009211752268280714,0.46875,0.46875,,,,,,,,,
7,522176,448,0.010487588580840942,0.453125,0.453125,,,,,,,,,
8,610816,512,0.00858577265955968,0.3125,0.3125,,,,,,,,,
9,690240,576,0.007956347762208353,0.5625,0.5625,0.00849423492236948,0.5,0.5,,,,,,
10,768128,640,0.009007439133801972,0.453125,0.453125,,,,,,,,,
11,848064,704,0.010017879668369483,0.453125,0.453125,,,,,,,,,
12,916736,768,0.009365044727795643,0.546875,0.546875,,,,,,,,,
13,1008960,832,0.008969118124540083,0.484375,0.484375,,,,,,,,,
14,1094528,896,0.00944705061624741,0.4375,0.4375,,,,,,,,,
15,1150400,960,0.010673276413498902,0.390625,0.390625,,,,,,,,,
16,1204736,1024,0.011468417670592628,0.46875,0.46875,,,,,,,,,
17,1270848,1088,0.009100898339763915,0.375,0.375,0.009176253814406597,0.546875,0.546875,,,,,,
18,1319040,1152,0.01301226243078951,0.515625,0.515625,,,,,,,,,
19,1371840,1216,0.012257984737896905,0.65625,0.65625,,,,,,,,,
20,1439488,1280,0.010914482648282263,0.703125,0.703125,,,,,,,,,
21,1514816,1344,0.008922552233946314,0.40625,0.40625,,,,,,,,,
22,1600896,1408,0.008146392274847654,0.40625,0.40625,,,,,,,,,
23,1693120,1472,0.00828167899054846,0.5625,0.5625,,,,,,,,,
24,1772032,1536,0.008192113135349404,0.734375,0.734375,,,,,,,,,
25,1828928,1600,0.0107663288299394,0.640625,0.640625,0.01138700250657004,0.859375,0.859375,,,,,,
26,1910400,1664,0.007542574636649073,0.828125,0.828125,,,,,,,,,
27,1985728,1728,0.008297366753944562,0.78125,0.78125,,,,,,,,,
28,2047744,1792,0.01096050756497816,0.8125,0.8125,,,,,,,,,
29,2116928,1856,0.009112031840432749,0.765625,0.765625,,,,,,,,,
30,2203008,1920,0.008480914906544255,0.765625,0.765625,,,,,,,,,
31,2284992,1984,0.00801370214778557,0.71875,0.71875,,,,,,,,,
32,2362368,2048,0.009053849224844012,0.75,0.75,,,,,,,,,
33,2422848,2112,0.009567206409670072,0.84375,0.84375,0.011015259378084306,0.96875,0.96875,,,,,,
