iter	Passed	Remaining
0	7	15013
1	12	12286
2	16	11017
3	20	10120
4	23	9399
5	27	9078
6	30	8733
7	34	8500
8	37	8323
9	41	8174
10	44	8022
11	47	7903
12	50	7689
13	53	7556
14	56	7463
15	59	7339
16	62	7294
17	65	7193
18	68	7125
19	71	7042
20	73	6969
21	77	6930
22	80	6886
23	83	6838
24	85	6775
25	88	6731
26	91	6688
27	94	6647
28	97	6613
29	100	6579
30	102	6540
31	105	6506
32	108	6472
33	111	6459
34	114	6429
35	117	6407
36	120	6387
37	123	6385
38	126	6358
39	129	6331
40	132	6307
41	135	6299
42	138	6287
43	140	6267
44	143	6242
45	146	6230
46	149	6207
47	152	6188
48	155	6174
49	158	6162
50	160	6143
51	163	6139
52	166	6126
53	169	6109
54	172	6097
55	175	6082
56	177	6067
57	181	6064
58	184	6065
59	187	6055
60	189	6038
61	192	6018
62	195	6006
63	198	6001
64	201	5991
65	203	5977
66	206	5956
67	209	5940
68	211	5925
69	214	5915
70	217	5902
71	219	5887
72	222	5871
73	225	5866
74	228	5856
75	230	5845
76	233	5839
77	236	5833
78	239	5821
79	242	5809
80	244	5800
81	247	5789
82	250	5779
83	253	5771
84	255	5766
85	258	5755
86	261	5749
87	264	5744
88	267	5738
89	269	5729
90	272	5722
91	275	5709
92	277	5699
93	280	5691
94	283	5682
95	286	5681
96	289	5672
97	291	5660
98	294	5653
99	297	5647
100	299	5635
101	302	5631
102	305	5625
103	308	5618
104	310	5610
105	313	5603
106	316	5600
107	319	5592
108	321	5584
109	324	5577
110	327	5568
111	329	5560
112	332	5557
113	335	5550
114	338	5540
115	340	5532
116	343	5529
117	346	5521
118	348	5515
119	351	5508
120	354	5505
121	357	5499
122	359	5489
123	362	5483
124	365	5481
125	368	5476
126	370	5468
127	373	5461
128	376	5453
129	378	5445
130	381	5439
131	383	5433
132	387	5432
133	389	5427
134	392	5420
135	395	5414
136	398	5412
137	400	5405
138	403	5399
139	406	5398
140	409	5395
141	411	5386
142	414	5382
143	417	5377
144	419	5372
145	422	5366
146	425	5360
147	427	5354
148	430	5349
149	433	5347
150	436	5344
151	439	5340
152	442	5336
153	444	5332
154	447	5325
155	450	5321
156	452	5316
157	455	5312
158	458	5310
159	461	5306
160	464	5302
161	466	5296
162	469	5293
163	472	5289
164	475	5285
165	477	5279
166	480	5278
167	483	5274
168	486	5271
169	488	5257
170	491	5254
171	493	5247
172	496	5245
173	499	5241
174	502	5238
175	505	5235
176	508	5232
177	510	5225
178	513	5220
179	515	5215
180	518	5211
181	521	5209
182	524	5206
183	526	5199
184	529	5197
185	532	5192
186	535	5190
187	538	5186
188	540	5181
189	543	5177
190	546	5172
191	549	5170
192	551	5165
193	554	5160
194	557	5161
195	560	5159
196	563	5157
197	566	5154
198	569	5153
199	572	5150
200	575	5148
201	578	5147
202	581	5144
203	584	5143
204	587	5140
205	590	5138
206	593	5137
207	595	5134
208	598	5131
209	601	5130
210	604	5127
211	607	5125
212	610	5122
213	613	5119
214	616	5116
215	619	5113
216	621	5109
217	624	5107
218	627	5103
219	630	5100
220	633	5097
221	635	5093
222	638	5089
223	641	5087
224	644	5084
225	647	5080
226	650	5077
227	652	5074
228	655	5072
229	658	5070
230	661	5067
231	664	5066
232	667	5063
233	670	5061
234	673	5059
235	676	5058
236	679	5056
237	682	5053
238	685	5048
239	688	5047
240	691	5044
241	693	5040
242	696	5037
243	699	5032
244	702	5028
245	705	5028
246	708	5024
247	711	5023
248	714	5022
249	717	5020
250	719	5016
251	722	5014
252	725	5011
253	728	5008
254	731	5003
255	733	5000
256	736	4996
257	739	4992
258	742	4990
259	745	4987
260	748	4984
261	751	4982
262	754	4981
263	756	4977
264	759	4973
265	762	4970
266	765	4967
267	768	4965
268	771	4962
269	774	4960
270	776	4956
271	779	4953
272	782	4950
273	785	4946
274	788	4943
275	791	4943
276	794	4942
277	797	4940
278	800	4937
279	803	4935
280	806	4932
281	809	4929
282	812	4927
283	815	4925
284	817	4921
285	820	4918
286	823	4915
287	826	4914
288	829	4912
289	832	4909
290	835	4907
291	838	4904
292	841	4901
293	844	4898
294	847	4895
295	849	4892
296	852	4888
297	855	4887
298	858	4885
299	861	4882
300	864	4879
301	867	4877
302	870	4874
303	873	4872
304	876	4869
305	878	4865
306	881	4862
307	884	4859
308	887	4857
309	890	4854
310	893	4853
311	896	4850
312	899	4848
313	902	4845
314	905	4841
315	908	4838
316	910	4836
317	913	4832
318	916	4830
319	919	4826
320	922	4823
321	924	4820
322	927	4816
323	930	4813
324	933	4811
325	936	4809
326	939	4806
327	942	4803
328	945	4799
329	948	4797
330	950	4794
331	953	4791
332	956	4789
333	959	4787
334	962	4784
335	965	4781
336	968	4780
337	971	4777
338	974	4773
339	977	4770
340	979	4767
341	982	4765
342	985	4762
343	988	4759
344	991	4756
345	994	4753
346	997	4750
347	1000	4748
348	1002	4744
349	1005	4742
350	1008	4738
351	1011	4737
352	1014	4733
353	1017	4730
354	1020	4727
355	1022	4723
356	1025	4720
357	1028	4718
358	1031	4715
359	1034	4714
360	1037	4711
361	1040	4709
362	1043	4706
363	1046	4703
364	1049	4699
365	1051	4696
366	1054	4694
367	1057	4691
368	1060	4688
369	1063	4685
370	1066	4683
371	1069	4679
372	1072	4677
373	1075	4673
374	1077	4671
375	1080	4668
376	1083	4666
377	1086	4662
378	1089	4659
379	1092	4657
380	1095	4654
381	1098	4652
382	1101	4649
383	1104	4647
384	1107	4644
385	1109	4640
386	1112	4638
387	1115	4635
388	1118	4633
389	1121	4630
390	1124	4627
391	1127	4624
392	1130	4621
393	1133	4618
394	1135	4615
395	1138	4612
396	1141	4610
397	1144	4608
398	1147	4605
399	1150	4603
400	1153	4601
401	1156	4597
402	1159	4594
403	1162	4591
404	1165	4588
405	1168	4585
406	1170	4582
407	1173	4579
408	1176	4576
409	1179	4573
410	1182	4570
411	1185	4568
412	1188	4565
413	1191	4563
414	1193	4559
415	1196	4557
416	1199	4555
417	1202	4552
418	1205	4549
419	1208	4546
420	1211	4543
421	1214	4540
422	1217	4537
423	1220	4535
424	1223	4532
425	1225	4529
426	1228	4525
427	1231	4523
428	1234	4519
429	1237	4517
430	1240	4514
431	1243	4511
432	1245	4508
433	1249	4507
434	1252	4505
435	1255	4501
436	1258	4499
437	1261	4497
438	1263	4493
439	1266	4490
440	1269	4487
441	1272	4484
442	1275	4481
