step,mloss,gloss,loss
100.0,1.039,0.986,2.025
200.0,0.9184,0.8154,1.7338
300.0,0.9187,0.5985,1.5171999999999999
400.0,0.9214,0.426,1.3474
500.0,0.9192,0.3518,1.271
600.0,0.9329,0.335,1.2679
700.0,0.9112,0.3253,1.2365
800.0,0.9155,0.3168,1.2323
900.0,0.9051,0.3081,1.2132
1000.0,0.8978,0.2983,1.1961
1100.0,0.9023,0.2937,1.196
1200.0,0.8971,0.2886,1.1857
1300.0,0.9169,0.2858,1.2027
1400.0,0.893,0.2809,1.1739
1500.0,0.8911,0.2785,1.1696
1600.0,0.8931,0.2753,1.1684
1700.0,0.8983,0.2749,1.1732
1800.0,0.9036,0.2735,1.1771
1900.0,0.8836,0.2716,1.1552
2000.0,0.898,0.2702,1.1682000000000001
2100.0,0.9119,0.2678,1.1797
2200.0,0.8832,0.2669,1.1501000000000001
2300.0,0.8973,0.2651,1.1623999999999999
2400.0,0.9046,0.2654,1.17
2500.0,0.9068,0.2656,1.1724
2600.0,0.9,0.2661,1.1661000000000001
2700.0,0.902,0.2632,1.1652
2800.0,0.8927,0.2637,1.1564
2900.0,0.8907,0.2638,1.1545
3000.0,0.8933,0.2627,1.156
3100.0,0.8932,0.2636,1.1568
3200.0,0.8867,0.2603,1.147
3300.0,0.9022,0.262,1.1642000000000001
3400.0,0.9102,0.2606,1.1708
3500.0,0.8958,0.2615,1.1573
3600.0,0.8855,0.2594,1.1449
3700.0,0.9058,0.2597,1.1655
3800.0,0.9062,0.2588,1.165
3900.0,0.8935,0.2586,1.1521
4000.0,0.8817,0.2595,1.1412
4100.0,0.8909,0.2584,1.1493
4200.0,0.8908,0.2582,1.149
4300.0,0.9101,0.2592,1.1693
4400.0,0.8987,0.2589,1.1576
4500.0,0.8956,0.2585,1.1541
4600.0,0.9211,0.2571,1.1782
4700.0,0.8944,0.2562,1.1505999999999998
4800.0,0.8924,0.2578,1.1502
4900.0,0.9103,0.2581,1.1684
5000.0,0.8871,0.2564,1.1435
5100.0,0.8916,0.2569,1.1484999999999999
5200.0,0.8905,0.256,1.1465
5300.0,0.9052,0.2565,1.1617
5400.0,0.8919,0.2552,1.1471
5500.0,0.8999,0.2558,1.1557
5600.0,0.8935,0.2552,1.1486999999999998
5700.0,0.8825,0.2536,1.1360999999999999
5800.0,0.8851,0.2565,1.1416
5900.0,0.8893,0.2542,1.1435
6000.0,0.886,0.2533,1.1393
6100.0,0.8806,0.2559,1.1365
6200.0,0.8802,0.2535,1.1337
6300.0,0.8802,0.2535,1.1337
6400.0,0.8898,0.2543,1.1441000000000001
6500.0,0.8782,0.2533,1.1315
6600.0,0.8911,0.2525,1.1436
6700.0,0.9013,0.2544,1.1557
6800.0,0.8801,0.2532,1.1333
6900.0,0.8829,0.2544,1.1373
7000.0,0.8908,0.2538,1.1446
7100.0,0.892,0.2528,1.1448
7200.0,0.8994,0.2535,1.1529
7300.0,0.8996,0.253,1.1526
7400.0,0.8872,0.2532,1.1404
7500.0,0.8891,0.2538,1.1429
7600.0,0.8973,0.2529,1.1502
7700.0,0.8869,0.2517,1.1386
7800.0,0.8894,0.2529,1.1423
7900.0,0.8801,0.2522,1.1322999999999999
8000.0,0.8782,0.2509,1.1291
8100.0,0.8986,0.2537,1.1522999999999999
8200.0,0.8882,0.2526,1.1408
8300.0,0.8876,0.2519,1.1395
8400.0,0.8827,0.2533,1.1360000000000001
8500.0,0.8754,0.2525,1.1279
8600.0,0.8994,0.2531,1.1524999999999999
8700.0,0.8883,0.2522,1.1404999999999998
8800.0,0.8842,0.2517,1.1359
8900.0,0.8966,0.2512,1.1478
9000.0,0.896,0.2518,1.1478000000000002
9100.0,0.8874,0.2514,1.1388
9200.0,0.899,0.2523,1.1513
9300.0,0.8819,0.2514,1.1333
9400.0,0.9031,0.252,1.1551
9500.0,0.9002,0.2517,1.1519
9600.0,0.8808,0.2505,1.1313
9700.0,0.8815,0.2501,1.1316
9800.0,0.8855,0.2519,1.1374
9900.0,0.8876,0.2508,1.1383999999999999
10000.0,0.895,0.2514,1.1464
10100.0,0.8857,0.2502,1.1359
10200.0,0.8839,0.2518,1.1357
10300.0,0.882,0.2488,1.1308
10400.0,0.8891,0.2493,1.1384
10500.0,0.8867,0.2508,1.1375000000000002
10600.0,0.8945,0.2497,1.1441999999999999
