step,mloss,gloss,loss
100.0,0.0,0.8138,0.8138
200.0,0.0,0.5382,0.5382
300.0,0.0,0.4644,0.4644
400.0,0.0,0.462,0.462
500.0,0.0,0.458,0.458
600.0,0.0,0.449,0.449
700.0,0.0,0.4545,0.4545
800.0,0.0,0.4477,0.4477
900.0,0.0,0.4408,0.4408
1000.0,0.0,0.446,0.446
1100.0,0.0,0.4343,0.4343
1200.0,0.0,0.4343,0.4343
1300.0,0.0,0.4317,0.4317
1400.0,0.0,0.4267,0.4267
1500.0,0.0,0.429,0.429
1600.0,0.0,0.4294,0.4294
1700.0,0.0,0.4213,0.4213
1800.0,0.0,0.4238,0.4238
1900.0,0.0,0.4203,0.4203
2000.0,0.0,0.4171,0.4171
2100.0,0.0,0.4091,0.4091
2200.0,0.0,0.4116,0.4116
2300.0,0.0,0.41,0.41
2400.0,0.0,0.406,0.406
2500.0,0.0,0.4057,0.4057
2600.0,0.0,0.3991,0.3991
2700.0,0.0,0.4028,0.4028
2800.0,0.0,0.3939,0.3939
2900.0,0.0,0.3926,0.3926
3000.0,0.0,0.3917,0.3917
3100.0,0.0,0.3883,0.3883
3200.0,0.0,0.3866,0.3866
3300.0,0.0,0.3841,0.3841
3400.0,0.0,0.38,0.38
3500.0,0.0,0.3824,0.3824
3600.0,0.0,0.376,0.376
3700.0,0.0,0.3718,0.3718
3800.0,0.0,0.3689,0.3689
3900.0,0.0,0.3699,0.3699
4000.0,0.0,0.3649,0.3649
4100.0,0.0,0.3611,0.3611
4200.0,0.0,0.3573,0.3573
4300.0,0.0,0.3565,0.3565
4400.0,0.0,0.3528,0.3528
4500.0,0.0,0.3481,0.3481
4600.0,0.0,0.3439,0.3439
4700.0,0.0,0.3437,0.3437
4800.0,0.0,0.3398,0.3398
4900.0,0.0,0.3383,0.3383
5000.0,0.0,0.3333,0.3333
5100.0,0.0,0.3276,0.3276
5200.0,0.0,0.327,0.327
5300.0,0.0,0.3265,0.3265
5400.0,0.0,0.3195,0.3195
5500.0,0.0,0.3181,0.3181
5600.0,0.0,0.3149,0.3149
5700.0,0.0,0.3119,0.3119
5800.0,0.0,0.3119,0.3119
5900.0,0.0,0.306,0.306
6000.0,0.0,0.3038,0.3038
6100.0,0.0,0.302,0.302
6200.0,0.0,0.2974,0.2974
6300.0,0.0,0.2962,0.2962
6400.0,0.0,0.2914,0.2914
6500.0,0.0,0.291,0.291
6600.0,0.0,0.2868,0.2868
6700.0,0.0,0.2844,0.2844
6800.0,0.0,0.2829,0.2829
6900.0,0.0,0.2802,0.2802
7000.0,0.0,0.2795,0.2795
7100.0,0.0,0.2803,0.2803
7200.0,0.0,0.2771,0.2771
7300.0,0.0,0.2742,0.2742
7400.0,0.0,0.2701,0.2701
7500.0,0.0,0.2734,0.2734
7600.0,0.0,0.2698,0.2698
7700.0,0.0,0.2656,0.2656
7800.0,0.0,0.2671,0.2671
7900.0,0.0,0.2639,0.2639
8000.0,0.0,0.2664,0.2664
8100.0,0.0,0.2612,0.2612
8200.0,0.0,0.2597,0.2597
8300.0,0.0,0.2578,0.2578
8400.0,0.0,0.2577,0.2577
8500.0,0.0,0.2561,0.2561
8600.0,0.0,0.2571,0.2571
8700.0,0.0,0.2531,0.2531
8800.0,0.0,0.2524,0.2524
8900.0,0.0,0.251,0.251
9000.0,0.0,0.247,0.247
9100.0,0.0,0.2505,0.2505
9200.0,0.0,0.2469,0.2469
9300.0,0.0,0.2492,0.2492
9400.0,0.0,0.2459,0.2459
9500.0,0.0,0.2444,0.2444
9600.0,0.0,0.2451,0.2451
9700.0,0.0,0.2438,0.2438
9800.0,0.0,0.2389,0.2389
9900.0,0.0,0.2469,0.2469
10000.0,0.0,0.243,0.243
10100.0,0.0,0.2392,0.2392
10200.0,0.0,0.2387,0.2387
10300.0,0.0,0.2394,0.2394
10400.0,0.0,0.2367,0.2367
10500.0,0.0,0.2355,0.2355
10600.0,0.0,0.2346,0.2346
10700.0,0.0,0.2346,0.2346
10800.0,0.0,0.2348,0.2348
10900.0,0.0,0.2329,0.2329
11000.0,0.0,0.2354,0.2354
11100.0,0.0,0.2328,0.2328
11200.0,0.0,0.2319,0.2319
11300.0,0.0,0.2291,0.2291
11400.0,0.0,0.2291,0.2291
11500.0,0.0,0.2279,0.2279
11600.0,0.0,0.2287,0.2287
11700.0,0.0,0.23,0.23
11800.0,0.0,0.2291,0.2291
11900.0,0.0,0.2239,0.2239
12000.0,0.0,0.2276,0.2276
12100.0,0.0,0.2257,0.2257
12200.0,0.0,0.2261,0.2261
12300.0,0.0,0.2237,0.2237
12400.0,0.0,0.2228,0.2228
12500.0,0.0,0.2248,0.2248
12600.0,0.0,0.2234,0.2234
12700.0,0.0,0.2221,0.2221
12800.0,0.0,0.2227,0.2227
12900.0,0.0,0.2211,0.2211
13000.0,0.0,0.2192,0.2192
13100.0,0.0,0.2219,0.2219
13200.0,0.0,0.22,0.22
13300.0,0.0,0.2194,0.2194
13400.0,0.0,0.2217,0.2217
13500.0,0.0,0.2172,0.2172
13600.0,0.0,0.2181,0.2181
13700.0,0.0,0.2171,0.2171
13800.0,0.0,0.2167,0.2167
13900.0,0.0,0.2157,0.2157
14000.0,0.0,0.2134,0.2134
14100.0,0.0,0.2151,0.2151
14200.0,0.0,0.215,0.215
14300.0,0.0,0.2129,0.2129
14400.0,0.0,0.2127,0.2127
14500.0,0.0,0.2113,0.2113
14600.0,0.0,0.2129,0.2129
14700.0,0.0,0.2119,0.2119
14800.0,0.0,0.2132,0.2132
14900.0,0.0,0.211,0.211
15000.0,0.0,0.2111,0.2111
15100.0,0.0,0.2107,0.2107
15200.0,0.0,0.2092,0.2092
15300.0,0.0,0.2086,0.2086
15400.0,0.0,0.2105,0.2105
15500.0,0.0,0.2092,0.2092
15600.0,0.0,0.2082,0.2082
15700.0,0.0,0.2073,0.2073
15800.0,0.0,0.2113,0.2113
15900.0,0.0,0.2066,0.2066
16000.0,0.0,0.2044,0.2044
16100.0,0.0,0.2052,0.2052
16200.0,0.0,0.2064,0.2064
16300.0,0.0,0.2058,0.2058
16400.0,0.0,0.2066,0.2066
16500.0,0.0,0.2044,0.2044
16600.0,0.0,0.2042,0.2042
16700.0,0.0,0.2041,0.2041
16800.0,0.0,0.2038,0.2038
16900.0,0.0,0.2021,0.2021
17000.0,0.0,0.2035,0.2035
17100.0,0.0,0.202,0.202
17200.0,0.0,0.2026,0.2026
17300.0,0.0,0.2028,0.2028
17400.0,0.0,0.2009,0.2009
17500.0,0.0,0.2002,0.2002
17600.0,0.0,0.2003,0.2003
17700.0,0.0,0.2021,0.2021
17800.0,0.0,0.2005,0.2005
17900.0,0.0,0.1983,0.1983
18000.0,0.0,0.2002,0.2002
18100.0,0.0,0.2029,0.2029
18200.0,0.0,0.199,0.199
18300.0,0.0,0.1979,0.1979
18400.0,0.0,0.1983,0.1983
18500.0,0.0,0.2009,0.2009
18600.0,0.0,0.1964,0.1964
18700.0,0.0,0.1978,0.1978
18800.0,0.0,0.1977,0.1977
18900.0,0.0,0.1953,0.1953
19000.0,0.0,0.1961,0.1961
19100.0,0.0,0.1971,0.1971
19200.0,0.0,0.1967,0.1967
