step,mloss,gloss,loss
100.0,0.0,0.9851,0.9851
200.0,0.0,0.9459,0.9459
300.0,0.0,0.9012,0.9012
400.0,0.0,0.8499,0.8499
500.0,0.0,0.7745,0.7745
600.0,0.0,0.6911,0.6911
700.0,0.0,0.6246,0.6246
800.0,0.0,0.5725,0.5725
900.0,0.0,0.5438,0.5438
1000.0,0.0,0.524,0.524
1100.0,0.0,0.5093,0.5093
1200.0,0.0,0.5025,0.5025
1300.0,0.0,0.4929,0.4929
1400.0,0.0,0.4864,0.4864
1500.0,0.0,0.4816,0.4816
1600.0,0.0,0.4786,0.4786
1700.0,0.0,0.4689,0.4689
1800.0,0.0,0.4713,0.4713
1900.0,0.0,0.4685,0.4685
2000.0,0.0,0.4647,0.4647
2100.0,0.0,0.4601,0.4601
2200.0,0.0,0.4618,0.4618
2300.0,0.0,0.4583,0.4583
2400.0,0.0,0.4567,0.4567
2500.0,0.0,0.4585,0.4585
2600.0,0.0,0.4555,0.4555
2700.0,0.0,0.4578,0.4578
2800.0,0.0,0.4551,0.4551
2900.0,0.0,0.4575,0.4575
3000.0,0.0,0.4527,0.4527
3100.0,0.0,0.4561,0.4561
3200.0,0.0,0.4546,0.4546
3300.0,0.0,0.4541,0.4541
3400.0,0.0,0.4525,0.4525
3500.0,0.0,0.4559,0.4559
3600.0,0.0,0.4521,0.4521
3700.0,0.0,0.451,0.451
3800.0,0.0,0.4504,0.4504
3900.0,0.0,0.4515,0.4515
4000.0,0.0,0.4481,0.4481
4100.0,0.0,0.4509,0.4509
4200.0,0.0,0.4486,0.4486
4300.0,0.0,0.4496,0.4496
4400.0,0.0,0.4487,0.4487
4500.0,0.0,0.4475,0.4475
4600.0,0.0,0.4463,0.4463
4700.0,0.0,0.4467,0.4467
4800.0,0.0,0.4472,0.4472
4900.0,0.0,0.4439,0.4439
5000.0,0.0,0.4434,0.4434
5100.0,0.0,0.4438,0.4438
5200.0,0.0,0.4436,0.4436
5300.0,0.0,0.444,0.444
5400.0,0.0,0.4409,0.4409
5500.0,0.0,0.4409,0.4409
5600.0,0.0,0.4421,0.4421
5700.0,0.0,0.4424,0.4424
5800.0,0.0,0.4403,0.4403
5900.0,0.0,0.4415,0.4415
6000.0,0.0,0.4433,0.4433
6100.0,0.0,0.4416,0.4416
6200.0,0.0,0.4386,0.4386
6300.0,0.0,0.4394,0.4394
6400.0,0.0,0.4385,0.4385
6500.0,0.0,0.4388,0.4388
6600.0,0.0,0.4389,0.4389
6700.0,0.0,0.4369,0.4369
6800.0,0.0,0.4361,0.4361
6900.0,0.0,0.4393,0.4393
7000.0,0.0,0.4388,0.4388
7100.0,0.0,0.4373,0.4373
7200.0,0.0,0.4362,0.4362
7300.0,0.0,0.4337,0.4337
7400.0,0.0,0.4345,0.4345
7500.0,0.0,0.4356,0.4356
7600.0,0.0,0.4351,0.4351
7700.0,0.0,0.4312,0.4312
7800.0,0.0,0.4347,0.4347
7900.0,0.0,0.4359,0.4359
8000.0,0.0,0.4348,0.4348
8100.0,0.0,0.434,0.434
8200.0,0.0,0.4336,0.4336
8300.0,0.0,0.4305,0.4305
8400.0,0.0,0.4345,0.4345
8500.0,0.0,0.4368,0.4368
8600.0,0.0,0.4334,0.4334
8700.0,0.0,0.4372,0.4372
8800.0,0.0,0.4363,0.4363
8900.0,0.0,0.4325,0.4325
9000.0,0.0,0.4292,0.4292
9100.0,0.0,0.434,0.434
9200.0,0.0,0.4326,0.4326
9300.0,0.0,0.4348,0.4348
9400.0,0.0,0.4336,0.4336
9500.0,0.0,0.4338,0.4338
9600.0,0.0,0.4318,0.4318
9700.0,0.0,0.4284,0.4284
9800.0,0.0,0.428,0.428
9900.0,0.0,0.4354,0.4354
10000.0,0.0,0.4304,0.4304
