step,mloss,gloss,loss
100.0,1.3443,1.4033,2.7476000000000003
200.0,1.2026,0.9992,2.2018
300.0,1.1992,0.9954,2.1946
400.0,1.1913,0.9889,2.1802
500.0,1.1731,0.9547,2.1278
600.0,1.1414,0.9188,2.0602
700.0,1.1352,0.8953,2.0305
800.0,1.0999,0.8564,1.9563000000000001
900.0,1.0729,0.8406,1.9135
1000.0,1.0548,0.8249,1.8797
1100.0,1.046,0.7912,1.8372000000000002
1200.0,1.0508,0.7804,1.8312
1300.0,1.0262,0.7132,1.7393999999999998
1400.0,1.0137,0.6729,1.6866
1500.0,1.0017,0.6492,1.6509
1600.0,1.0044,0.6498,1.6542
1700.0,0.9988,0.6448,1.6436000000000002
1800.0,0.9864,0.6368,1.6232000000000002
1900.0,0.9804,0.6368,1.6172
2000.0,0.9787,0.6319,1.6106
2100.0,0.9722,0.626,1.5981999999999998
2200.0,0.9616,0.6262,1.5878
2300.0,0.9613,0.6265,1.5878
2400.0,0.9731,0.625,1.5981
2500.0,0.9575,0.623,1.5805
2600.0,0.9575,0.6209,1.5784
2700.0,0.9539,0.6178,1.5716999999999999
2800.0,0.9604,0.6229,1.5833
2900.0,0.9677,0.627,1.5947
3000.0,0.9607,0.6179,1.5786
3100.0,0.9646,0.6204,1.585
3200.0,0.9607,0.6132,1.5739
3300.0,0.9673,0.6136,1.5809000000000002
3400.0,0.9601,0.6171,1.5772
3500.0,0.9603,0.6184,1.5787
3600.0,0.9556,0.608,1.5636
3700.0,0.9634,0.6139,1.5773000000000001
3800.0,0.9605,0.6198,1.5803
3900.0,0.9694,0.6261,1.5955
4000.0,0.9506,0.6125,1.5631
4100.0,0.9466,0.6118,1.5584
4200.0,0.9501,0.6006,1.5507
4300.0,0.9558,0.625,1.5808
4400.0,0.945,0.6052,1.5501999999999998
4500.0,0.9534,0.605,1.5584
4600.0,0.9529,0.6145,1.5674000000000001
4700.0,0.9423,0.6016,1.5439
4800.0,0.9446,0.595,1.5396
4900.0,0.9461,0.6088,1.5549
5000.0,0.9486,0.5987,1.5473
5100.0,0.9516,0.595,1.5466
5200.0,0.9494,0.6082,1.5575999999999999
5300.0,0.9408,0.6036,1.5444
5400.0,0.9503,0.6065,1.5568
5500.0,0.9432,0.6091,1.5523
5600.0,0.9466,0.595,1.5415999999999999
5700.0,0.9478,0.5958,1.5436
5800.0,0.9474,0.6116,1.5590000000000002
5900.0,0.9406,0.6062,1.5468
6000.0,0.9401,0.5908,1.5309
6100.0,0.9435,0.5814,1.5249000000000001
6200.0,0.9421,0.5781,1.5202
6300.0,0.9424,0.5853,1.5277
6400.0,0.9419,0.5898,1.5316999999999998
6500.0,0.9375,0.5881,1.5255999999999998
6600.0,0.9316,0.6035,1.5351
6700.0,0.9348,0.5601,1.4949
6800.0,0.953,0.5822,1.5352000000000001
6900.0,0.9387,0.6085,1.5472000000000001
7000.0,0.9287,0.5862,1.5149
7100.0,0.9337,0.5493,1.483
7200.0,0.9322,0.5548,1.487
7300.0,0.9392,0.5641,1.5033
7400.0,0.9381,0.5454,1.4835
7500.0,0.9347,0.5425,1.4771999999999998
7600.0,0.9301,0.5518,1.4819
7700.0,0.9331,0.5391,1.4722
7800.0,0.9316,0.5211,1.4527
7900.0,0.9291,0.5377,1.4668
8000.0,0.9311,0.5382,1.4693
8100.0,0.9265,0.5152,1.4417
8200.0,0.9272,0.5244,1.4516
8300.0,0.9236,0.5199,1.4435
8400.0,0.9261,0.5062,1.4323000000000001
8500.0,0.9311,0.505,1.4361000000000002
8600.0,0.9241,0.5077,1.4318
8700.0,0.9203,0.5122,1.4325
8800.0,0.9255,0.517,1.4425
8900.0,0.9277,0.5043,1.432
9000.0,0.9262,0.4999,1.4261
9100.0,0.9278,0.5043,1.4321
9200.0,0.9272,0.4974,1.4246
9300.0,0.9232,0.5019,1.4251
9400.0,0.9206,0.505,1.4256
9500.0,0.926,0.4982,1.4242
9600.0,0.9185,0.4983,1.4168
9700.0,0.9243,0.4893,1.4136
9800.0,0.9228,0.4875,1.4102999999999999
9900.0,0.9238,0.4928,1.4165999999999999
10000.0,0.9222,0.4816,1.4038
10100.0,0.921,0.4776,1.3986
10200.0,0.9169,0.477,1.3939
10300.0,0.9229,0.477,1.3999000000000001
10400.0,0.9233,0.4733,1.3966
10500.0,0.9162,0.4698,1.3860000000000001
10600.0,0.9205,0.4714,1.3919
10700.0,0.9185,0.466,1.3845
10800.0,0.9179,0.467,1.3849
10900.0,0.9265,0.4728,1.3993
11000.0,0.918,0.4681,1.3861
11100.0,0.926,0.4846,1.4106
11200.0,0.9164,0.4631,1.3795
11300.0,0.9211,0.4755,1.3966
11400.0,0.9173,0.4606,1.3779
11500.0,0.9289,0.4737,1.4026
11600.0,0.9172,0.4557,1.3729
11700.0,0.9268,0.4673,1.3941
11800.0,0.9264,0.4616,1.388
11900.0,0.9205,0.4543,1.3748
12000.0,0.9246,0.4442,1.3688
12100.0,1.0268,0.5705,1.5973
12200.0,0.9737,0.5134,1.4870999999999999
12300.0,0.9506,0.4902,1.4408
12400.0,0.9452,0.47,1.4152
12500.0,0.9387,0.4407,1.3794
12600.0,0.9398,0.4463,1.3860999999999999
12700.0,0.9321,0.4141,1.3462
12800.0,0.9347,0.4119,1.3466
12900.0,0.9333,0.3759,1.3092000000000001
13000.0,0.9275,0.3649,1.2924
13100.0,0.9295,0.3694,1.2989
13200.0,0.9255,0.3536,1.2791000000000001
13300.0,0.9271,0.364,1.2911000000000001
13400.0,0.919,0.3576,1.2766
13500.0,0.9215,0.3395,1.2610000000000001
13600.0,0.9168,0.3415,1.2583
13700.0,0.9175,0.3313,1.2488
13800.0,0.9208,0.3327,1.2534999999999998
13900.0,0.9179,0.3276,1.2455
14000.0,0.9177,0.3264,1.2441
14100.0,0.9196,0.3283,1.2479
14200.0,0.9152,0.3289,1.2441
14300.0,0.9161,0.3176,1.2337
14400.0,0.9147,0.3164,1.2311
14500.0,0.9147,0.3192,1.2339
14600.0,0.9163,0.3163,1.2326000000000001
14700.0,0.914,0.3131,1.2271
14800.0,0.9144,0.3112,1.2256
14900.0,0.9129,0.3146,1.2275
15000.0,0.9161,0.3232,1.2393
15100.0,0.9143,0.3105,1.2248
15200.0,0.9112,0.3105,1.2217
15300.0,0.9116,0.3094,1.221
15400.0,0.9135,0.3101,1.2236
15500.0,0.9088,0.3061,1.2149
15600.0,0.9138,0.3085,1.2223
15700.0,0.9137,0.3057,1.2194
15800.0,0.9078,0.3058,1.2136
15900.0,0.9091,0.3088,1.2179
16000.0,0.9122,0.3032,1.2154
16100.0,0.9138,0.3035,1.2172999999999998
16200.0,0.9121,0.3064,1.2185000000000001
16300.0,0.9114,0.3081,1.2195
16400.0,0.9126,0.3013,1.2139
16500.0,0.9093,0.3021,1.2114
16600.0,0.9075,0.3003,1.2078
16700.0,0.9066,0.2994,1.206
16800.0,0.909,0.3012,1.2102
16900.0,0.9088,0.2984,1.2072
17000.0,0.9074,0.3008,1.2082
17100.0,0.9062,0.2969,1.2031
17200.0,0.9094,0.2989,1.2083
17300.0,0.9042,0.3009,1.2051
17400.0,0.9049,0.2993,1.2042000000000002
17500.0,0.9056,0.2969,1.2025
17600.0,0.9053,0.2942,1.1995
17700.0,0.9067,0.2965,1.2031999999999998
17800.0,0.9065,0.2963,1.2027999999999999
17900.0,0.9067,0.2961,1.2027999999999999
18000.0,0.9072,0.297,1.2042
18100.0,0.9028,0.2955,1.1983000000000001
18200.0,0.9074,0.2948,1.2022
18300.0,0.902,0.2952,1.1972
18400.0,0.9051,0.2938,1.1989
18500.0,0.9025,0.2916,1.1941
18600.0,0.905,0.2923,1.1973
18700.0,0.9042,0.2943,1.1985000000000001
18800.0,0.908,0.2932,1.2012
18900.0,0.9053,0.2925,1.1978
19000.0,0.9008,0.2908,1.1916
19100.0,0.9039,0.2912,1.1951
19200.0,0.9058,0.2903,1.1961
19300.0,0.905,0.2914,1.1964000000000001
19400.0,0.9004,0.289,1.1894
19500.0,0.9016,0.2939,1.1955
19600.0,0.9016,0.2855,1.1871
19700.0,0.9,0.2875,1.1875
19800.0,0.8979,0.2891,1.187
19900.0,0.8994,0.2895,1.1888999999999998
20000.0,0.9022,0.2868,1.189
20100.0,0.9017,0.2864,1.1881
20200.0,0.8981,0.2872,1.1853
20300.0,0.9059,0.2895,1.1954
20400.0,0.9039,0.2889,1.1928
20500.0,0.8986,0.2852,1.1838
20600.0,0.9001,0.2863,1.1864
20700.0,0.9011,0.2849,1.186
20800.0,0.8996,0.2877,1.1873
20900.0,0.8987,0.2863,1.185
21000.0,0.8993,0.2859,1.1852
21100.0,0.8966,0.2849,1.1815
21200.0,0.8949,0.2873,1.1822
21300.0,0.8987,0.2827,1.1814
21400.0,0.8995,0.2866,1.1861
21500.0,0.9004,0.2822,1.1825999999999999
21600.0,0.8957,0.2797,1.1754
21700.0,0.8949,0.2824,1.1773
21800.0,0.8972,0.2819,1.1791
21900.0,0.9001,0.2827,1.1828
22000.0,0.8967,0.2832,1.1799
22100.0,0.9028,0.2795,1.1823000000000001
22200.0,0.9,0.2856,1.1856
22300.0,0.8979,0.2815,1.1794
22400.0,0.8962,0.2825,1.1787
22500.0,0.8953,0.2793,1.1745999999999999
22600.0,0.8957,0.2811,1.1768
22700.0,0.8971,0.2797,1.1768
22800.0,0.8966,0.2805,1.1771
22900.0,0.893,0.2797,1.1727
23000.0,0.8967,0.2814,1.1781000000000001
23100.0,0.8925,0.2811,1.1736
23200.0,0.8987,0.2784,1.1771
23300.0,0.8933,0.2782,1.1715
23400.0,0.895,0.2771,1.1721
23500.0,0.8911,0.2774,1.1684999999999999
23600.0,0.8941,0.2767,1.1708
23700.0,0.8921,0.2764,1.1684999999999999
23800.0,0.8946,0.277,1.1716
23900.0,0.8964,0.2758,1.1722
24000.0,0.8945,0.2747,1.1692
24100.0,0.8934,0.2778,1.1712
24200.0,0.8929,0.2754,1.1683
24300.0,0.892,0.2763,1.1683
24400.0,0.896,0.2749,1.1709
24500.0,0.8908,0.2764,1.1672
24600.0,0.8931,0.2742,1.1673
