step,mloss,gloss,loss
100.0,1.2786,0.7662,2.0448
200.0,1.0995,0.4593,1.5588
300.0,1.0739,0.4436,1.5175
400.0,1.0558,0.4147,1.4705000000000001
500.0,1.0344,0.4078,1.4422
600.0,1.0164,0.3987,1.4151
700.0,1.0133,0.3688,1.3821
800.0,1.0017,0.3807,1.3824
900.0,0.9859,0.3666,1.3525
1000.0,0.9856,0.3708,1.3564
1100.0,0.9805,0.3844,1.3649
1200.0,0.9739,0.3705,1.3444
1300.0,0.9721,0.368,1.3401
1400.0,0.9631,0.3612,1.3243
1500.0,0.962,0.3568,1.3188
1600.0,0.9439,0.3563,1.3002
1700.0,0.9536,0.3622,1.3158
1800.0,0.9466,0.3477,1.2943
1900.0,0.9387,0.3546,1.2933
2000.0,0.9414,0.3535,1.2949
2100.0,0.9413,0.3563,1.2976
2200.0,0.9297,0.3539,1.2835999999999999
2300.0,0.9322,0.3598,1.292
2400.0,0.9301,0.3491,1.2792000000000001
2500.0,0.9185,0.3486,1.2671000000000001
2600.0,0.9187,0.3491,1.2678
2700.0,0.9196,0.3492,1.2688
2800.0,0.9095,0.3416,1.2511
2900.0,0.9232,0.3565,1.2797
3000.0,0.9049,0.3477,1.2526000000000002
3100.0,0.9101,0.3421,1.2522
3200.0,0.904,0.3409,1.2449
3300.0,0.906,0.3394,1.2454
3400.0,0.8976,0.3467,1.2443
3500.0,0.9065,0.339,1.2455
3600.0,0.8985,0.3499,1.2484
3700.0,0.9041,0.3415,1.2456
3800.0,0.897,0.3373,1.2343
3900.0,0.8897,0.3361,1.2258
4000.0,0.8916,0.3444,1.236
4100.0,0.8886,0.3356,1.2242
4200.0,0.8923,0.336,1.2283
4300.0,0.878,0.3309,1.2089
4400.0,0.8866,0.3322,1.2188
4500.0,0.883,0.3378,1.2208
4600.0,0.8789,0.3323,1.2112
4700.0,0.885,0.3289,1.2139
4800.0,0.8802,0.3356,1.2158
4900.0,0.8777,0.3361,1.2138
5000.0,0.873,0.32,1.193
5100.0,0.8814,0.3367,1.2181
5200.0,0.8651,0.331,1.1961
5300.0,0.8758,0.3337,1.2095
5400.0,0.8787,0.33,1.2087
5500.0,0.8701,0.3277,1.1978
5600.0,0.8759,0.3273,1.2032
5700.0,0.8647,0.3327,1.1974
5800.0,0.8658,0.3201,1.1859
5900.0,0.8694,0.3292,1.1985999999999999
6000.0,0.8616,0.328,1.1896
6100.0,0.8682,0.3195,1.1877
6200.0,0.8662,0.3234,1.1896
6300.0,0.8701,0.3303,1.2004
6400.0,0.8613,0.3262,1.1875
6500.0,0.851,0.3184,1.1694
6600.0,0.851,0.3232,1.1742
6700.0,0.8522,0.3161,1.1683
6800.0,0.8693,0.3301,1.1994
6900.0,0.8507,0.3127,1.1634
7000.0,0.8481,0.3266,1.1747
7100.0,0.8579,0.3219,1.1798
7200.0,0.8609,0.3145,1.1754
7300.0,0.8465,0.319,1.1655
7400.0,0.8479,0.3195,1.1674
7500.0,0.851,0.3108,1.1618
7600.0,0.8449,0.3155,1.1604
7700.0,0.8441,0.3173,1.1614
7800.0,0.8497,0.3136,1.1633
7900.0,0.8469,0.3151,1.162
8000.0,0.8394,0.3121,1.1515
8100.0,0.8324,0.3136,1.146
8200.0,0.843,0.3099,1.1529
8300.0,0.8408,0.3173,1.1581000000000001
8400.0,0.8464,0.3187,1.1651
8500.0,0.8442,0.3098,1.154
8600.0,0.8314,0.3091,1.1405
8700.0,0.8312,0.3083,1.1395
8800.0,0.833,0.3092,1.1421999999999999
8900.0,0.8357,0.3096,1.1453
9000.0,0.8315,0.3114,1.1429
9100.0,0.8404,0.3128,1.1532
9200.0,0.8339,0.3053,1.1392
9300.0,0.8362,0.3034,1.1396000000000002
9400.0,0.833,0.3057,1.1387
9500.0,0.8289,0.306,1.1349
9600.0,0.8286,0.3051,1.1337
9700.0,0.834,0.3021,1.1360999999999999
9800.0,0.8235,0.3132,1.1367
9900.0,0.8291,0.3027,1.1318
10000.0,0.8245,0.3034,1.1279
10100.0,0.8276,0.3013,1.1289
10200.0,0.8264,0.3041,1.1305
10300.0,0.8206,0.3014,1.1219999999999999
10400.0,0.8196,0.2989,1.1185
10500.0,0.8314,0.3024,1.1338
10600.0,0.8198,0.2941,1.1139
10700.0,0.8268,0.3027,1.1295
10800.0,0.8222,0.3018,1.124
10900.0,0.8162,0.2973,1.1135000000000002
11000.0,0.8168,0.3012,1.1179999999999999
11100.0,0.8189,0.2982,1.1171
11200.0,0.822,0.3017,1.1237
11300.0,0.8153,0.2951,1.1104
11400.0,0.8148,0.293,1.1078
11500.0,0.8136,0.2922,1.1058
11600.0,0.8169,0.2934,1.1103
11700.0,0.8198,0.299,1.1188
11800.0,0.8249,0.2947,1.1196
11900.0,0.8123,0.2975,1.1098
12000.0,0.8112,0.2936,1.1048
12100.0,0.8071,0.296,1.1031
12200.0,0.8065,0.2874,1.0939
12300.0,0.8075,0.2933,1.1008
12400.0,0.8146,0.2941,1.1087
12500.0,0.8053,0.292,1.0973
12600.0,0.8058,0.2884,1.0941999999999998
12700.0,0.8058,0.2927,1.0985
12800.0,0.8052,0.2899,1.0951
12900.0,0.8101,0.2891,1.0992000000000002
13000.0,0.8117,0.2874,1.0991
13100.0,0.801,0.2827,1.0837
13200.0,0.8065,0.2915,1.0979999999999999
13300.0,0.8053,0.2894,1.0947
13400.0,0.8048,0.2875,1.0922999999999998
13500.0,0.7963,0.2833,1.0796000000000001
13600.0,0.8109,0.2861,1.097
13700.0,0.8018,0.2862,1.088
13800.0,0.8092,0.2902,1.0994000000000002
13900.0,0.7944,0.2772,1.0716
14000.0,0.7933,0.2827,1.076
14100.0,0.7988,0.2839,1.0827
14200.0,0.7949,0.2829,1.0778
14300.0,0.8034,0.2803,1.0836999999999999
14400.0,0.8128,0.287,1.0997999999999999
14500.0,0.7932,0.2795,1.0727
14600.0,0.7919,0.2801,1.072
14700.0,0.7921,0.2807,1.0728
14800.0,0.7953,0.2784,1.0737
14900.0,0.7988,0.2761,1.0749
15000.0,0.7999,0.2806,1.0805
15100.0,0.789,0.2804,1.0694
15200.0,0.7945,0.2725,1.067
15300.0,0.7918,0.2747,1.0665
15400.0,0.7949,0.2832,1.0781
15500.0,0.794,0.2755,1.0695000000000001
15600.0,0.7999,0.2789,1.0788
15700.0,0.7903,0.2753,1.0655999999999999
15800.0,0.788,0.281,1.069
15900.0,0.7973,0.2735,1.0708
16000.0,0.795,0.273,1.068
16100.0,0.7955,0.2789,1.0744
16200.0,0.7859,0.2734,1.0593
16300.0,0.7888,0.273,1.0617999999999999
16400.0,0.7833,0.2732,1.0565
16500.0,0.7886,0.2773,1.0659
16600.0,0.7897,0.2729,1.0626
16700.0,0.7934,0.2779,1.0713
16800.0,0.7852,0.272,1.0572
16900.0,0.7855,0.2636,1.0491
17000.0,0.7877,0.27,1.0577
17100.0,0.7874,0.2672,1.0546
17200.0,0.7865,0.272,1.0585
17300.0,0.7813,0.2686,1.0499
17400.0,0.7945,0.2731,1.0676
17500.0,0.7852,0.2642,1.0493999999999999
17600.0,0.7821,0.268,1.0501
17700.0,0.7788,0.2659,1.0447000000000002
17800.0,0.7816,0.2644,1.046
17900.0,0.7759,0.2646,1.0405
18000.0,0.7786,0.2668,1.0453999999999999
18100.0,0.7781,0.264,1.0421
18200.0,0.7821,0.263,1.0451000000000001
18300.0,0.7812,0.2674,1.0486
18400.0,0.7821,0.2712,1.0533000000000001
18500.0,0.7765,0.2651,1.0415999999999999
18600.0,0.7833,0.2636,1.0469
18700.0,0.7767,0.2592,1.0358999999999998
18800.0,0.7748,0.2637,1.0385
18900.0,0.7757,0.2609,1.0366
19000.0,0.7744,0.2611,1.0354999999999999
19100.0,0.7736,0.2614,1.035
19200.0,0.7771,0.2615,1.0386
19300.0,0.778,0.27,1.048
19400.0,0.7853,0.263,1.0483
19500.0,0.769,0.2609,1.0299
19600.0,0.7696,0.2556,1.0252
19700.0,0.7826,0.2618,1.0444
19800.0,0.7717,0.2578,1.0295
19900.0,0.7798,0.2616,1.0414
20000.0,0.7736,0.2589,1.0325
20100.0,0.7747,0.2585,1.0332000000000001
20200.0,0.7719,0.2556,1.0275
20300.0,0.7703,0.2589,1.0292
