step,mloss,gloss,loss
100.0,1.4161,1.149,2.5651
200.0,1.3286,1.0017,2.3303000000000003
300.0,1.3095,1.0016,2.3111
400.0,1.2741,0.9972,2.2713
500.0,1.2564,0.9876,2.2439999999999998
600.0,1.2813,0.9936,2.2749
700.0,1.2632,0.9727,2.2359
800.0,1.2366,0.9541,2.1906999999999996
900.0,1.1861,0.9162,2.1023
1000.0,1.1481,0.8682,2.0162999999999998
1100.0,1.1122,0.8441,1.9563000000000001
1200.0,1.1027,0.8258,1.9285
1300.0,1.0962,0.7965,1.8927
1400.0,1.0657,0.7523,1.818
1500.0,1.0558,0.7408,1.7966000000000002
1600.0,1.0422,0.723,1.7652
1700.0,1.0565,0.711,1.7675
1800.0,1.0355,0.6704,1.7059000000000002
1900.0,1.0181,0.652,1.6701000000000001
2000.0,1.0135,0.6411,1.6546
2100.0,1.0132,0.6412,1.6544
2200.0,0.9951,0.6353,1.6303999999999998
2300.0,0.9953,0.6316,1.6269
2400.0,0.9988,0.6372,1.6360000000000001
2500.0,0.98,0.6336,1.6136
2600.0,0.9751,0.6376,1.6126999999999998
2700.0,0.9707,0.6272,1.5979
2800.0,0.9603,0.6266,1.5869
2900.0,0.9706,0.6252,1.5958
3000.0,0.9514,0.6214,1.5728
3100.0,0.9553,0.6224,1.5777
3200.0,0.9474,0.6156,1.5630000000000002
3300.0,0.9603,0.6234,1.5836999999999999
3400.0,0.947,0.6211,1.5680999999999998
3500.0,0.9481,0.6174,1.5655000000000001
3600.0,0.9389,0.6094,1.5483
3700.0,0.9438,0.6187,1.5625
3800.0,0.9353,0.6168,1.5521
3900.0,0.9251,0.6059,1.5310000000000001
4000.0,0.9243,0.6048,1.5291000000000001
4100.0,0.9294,0.6042,1.5335999999999999
4200.0,0.9313,0.6057,1.537
4300.0,0.9128,0.5953,1.5081
4400.0,0.9196,0.594,1.5135999999999998
4500.0,0.915,0.5936,1.5086
4600.0,0.9104,0.5867,1.4971
4700.0,0.9174,0.5885,1.5059
4800.0,0.9285,0.6032,1.5316999999999998
4900.0,0.9163,0.6038,1.5201
5000.0,0.9082,0.5814,1.4896
5100.0,0.9083,0.5933,1.5016
5200.0,0.9016,0.5961,1.4977
5300.0,0.9114,0.5945,1.5059
5400.0,0.8938,0.5761,1.4699
5500.0,0.8816,0.5634,1.445
5600.0,0.8931,0.5787,1.4718
5700.0,0.8917,0.5862,1.4779
5800.0,0.8827,0.5681,1.4508
5900.0,0.8922,0.5792,1.4714
6000.0,0.8774,0.5584,1.4358
6100.0,0.8838,0.5544,1.4382000000000001
6200.0,0.8766,0.5527,1.4293
6300.0,0.8854,0.5704,1.4558
6400.0,0.8849,0.5914,1.4763000000000002
6500.0,0.8667,0.5542,1.4209
6600.0,0.8721,0.57,1.4421
6700.0,0.8824,0.6027,1.4851
6800.0,0.8687,0.5505,1.4192
6900.0,0.8654,0.5534,1.4188
7000.0,0.8574,0.5366,1.3940000000000001
7100.0,0.8645,0.5539,1.4184
7200.0,0.8676,0.5352,1.4028
7300.0,0.8459,0.521,1.3669
7400.0,0.8443,0.5323,1.3766
7500.0,0.8628,0.5453,1.4081000000000001
7600.0,0.85,0.5419,1.3919000000000001
7700.0,0.8427,0.5204,1.3631
7800.0,0.8502,0.5298,1.38
7900.0,0.8422,0.5182,1.3603999999999998
8000.0,0.8349,0.5061,1.341
8100.0,0.8353,0.5218,1.3571
8200.0,0.8292,0.5023,1.3315000000000001
8300.0,0.8263,0.4982,1.3245
8400.0,0.8337,0.5082,1.3418999999999999
8500.0,0.8414,0.5065,1.3479
8600.0,0.8182,0.4945,1.3127
8700.0,0.8159,0.4951,1.311
8800.0,0.8177,0.4879,1.3056
8900.0,0.8184,0.4921,1.3105
9000.0,0.8147,0.4943,1.309
9100.0,0.8188,0.4832,1.302
9200.0,0.8239,0.4922,1.3161
9300.0,0.8152,0.4846,1.2998
9400.0,0.8161,0.4864,1.3025
9500.0,0.8115,0.4913,1.3028
9600.0,0.8099,0.478,1.2879
9700.0,0.8152,0.4744,1.2896
9800.0,0.8093,0.4826,1.2919
9900.0,0.8095,0.4846,1.2941
10000.0,0.8028,0.4725,1.2752999999999999
10100.0,0.7987,0.4726,1.2713
10200.0,0.7998,0.4689,1.2687
10300.0,0.7977,0.4802,1.2779
10400.0,0.7972,0.4748,1.272
10500.0,0.8092,0.4737,1.2829000000000002
10600.0,0.7984,0.4685,1.2669000000000001
10700.0,0.8063,0.4661,1.2724
10800.0,0.7999,0.471,1.2709000000000001
10900.0,0.7954,0.466,1.2614
11000.0,0.7944,0.4733,1.2677
11100.0,0.7917,0.461,1.2527
11200.0,0.7935,0.4665,1.26
11300.0,0.7908,0.4631,1.2539
11400.0,0.7904,0.4619,1.2523
11500.0,0.7911,0.4695,1.2606
11600.0,0.7903,0.4616,1.2519
11700.0,0.798,0.4683,1.2663
11800.0,0.7974,0.4624,1.2598
11900.0,0.7818,0.4589,1.2407
12000.0,0.7821,0.462,1.2441
12100.0,0.7839,0.4583,1.2422
12200.0,0.776,0.4582,1.2342
12300.0,0.7763,0.4522,1.2285
12400.0,0.7807,0.4587,1.2393999999999998
12500.0,0.778,0.4561,1.2341
12600.0,0.776,0.4563,1.2323
12700.0,0.7744,0.4522,1.2266
12800.0,0.7751,0.4571,1.2322
12900.0,0.7751,0.4489,1.224
13000.0,0.7803,0.4539,1.2342
13100.0,0.7713,0.4483,1.2196
13200.0,0.7752,0.4552,1.2304
13300.0,0.772,0.4515,1.2235
13400.0,0.7699,0.4495,1.2194
13500.0,0.766,0.449,1.215
13600.0,0.7742,0.4456,1.2198
13700.0,0.7713,0.446,1.2173
13800.0,0.7763,0.4447,1.221
13900.0,0.7661,0.4474,1.2135
14000.0,0.7657,0.4441,1.2098
14100.0,0.7643,0.4402,1.2045
14200.0,0.7581,0.4419,1.2
14300.0,0.7684,0.4409,1.2093
14400.0,0.771,0.4409,1.2119
14500.0,0.7652,0.4397,1.2048999999999999
14600.0,0.7609,0.4365,1.1974
14700.0,0.7646,0.4429,1.2075
14800.0,0.7652,0.4375,1.2027
14900.0,0.7646,0.4366,1.2012
15000.0,0.7614,0.4343,1.1957
15100.0,0.7575,0.4299,1.1874
15200.0,0.7625,0.4341,1.1965999999999999
15300.0,0.7552,0.4274,1.1825999999999999
15400.0,0.7577,0.4327,1.1904
15500.0,0.7605,0.4348,1.1953
15600.0,0.7593,0.4356,1.1949
15700.0,0.7522,0.4282,1.1804000000000001
15800.0,0.7505,0.4287,1.1792
15900.0,0.7577,0.4291,1.1868
16000.0,0.7572,0.4317,1.1888999999999998
16100.0,0.7598,0.4307,1.1905000000000001
