step,mloss,gloss,loss
100.0,1.3559,1.2243,2.5802
200.0,1.2366,1.0003,2.2369
300.0,1.178,0.9951,2.1731
400.0,1.1662,0.9749,2.1411
500.0,1.1837,0.9623,2.146
600.0,1.1343,0.9324,2.0667
700.0,1.1091,0.9109,2.02
800.0,1.0691,0.8656,1.9346999999999999
900.0,1.0566,0.8285,1.8851
1000.0,1.043,0.8111,1.8540999999999999
1100.0,1.023,0.7515,1.7744999999999997
1200.0,1.0183,0.7322,1.7505
1300.0,1.0157,0.7161,1.7318
1400.0,0.9982,0.6622,1.6604
1500.0,0.9983,0.6494,1.6477
1600.0,0.983,0.6417,1.6247
1700.0,0.9873,0.6353,1.6225999999999998
1800.0,0.9766,0.6318,1.6084
1900.0,0.9683,0.6261,1.5944
2000.0,0.976,0.6291,1.6051
2100.0,0.9678,0.625,1.5928
2200.0,0.9677,0.6192,1.5869
2300.0,0.9641,0.622,1.5861
2400.0,0.9688,0.6214,1.5901999999999998
2500.0,0.9623,0.6163,1.5786
2600.0,0.9667,0.623,1.5897000000000001
2700.0,0.969,0.6181,1.5871
2800.0,0.9708,0.6167,1.5875
2900.0,0.9692,0.614,1.5832
3000.0,0.9597,0.6102,1.5699
3100.0,0.9645,0.6161,1.5806
3200.0,0.9588,0.6067,1.5655000000000001
3300.0,0.9665,0.6129,1.5794000000000001
3400.0,0.9644,0.6113,1.5756999999999999
3500.0,0.9592,0.604,1.5632000000000001
3600.0,0.9646,0.6098,1.5744
3700.0,0.9619,0.6145,1.5764
3800.0,0.9669,0.6082,1.5751
3900.0,0.9589,0.6021,1.561
4000.0,0.9606,0.6067,1.5673
4100.0,0.9647,0.6203,1.585
4200.0,0.9553,0.6064,1.5617
4300.0,0.9567,0.6033,1.56
4400.0,0.9615,0.6113,1.5728
4500.0,0.9532,0.5966,1.5498
4600.0,0.9579,0.6061,1.564
4700.0,0.9566,0.604,1.5606
4800.0,0.9547,0.6044,1.5591
4900.0,0.9532,0.6019,1.5551
5000.0,0.9479,0.5964,1.5443
5100.0,0.9657,0.6207,1.5864
5200.0,0.9479,0.6069,1.5548
5300.0,0.9469,0.5968,1.5436999999999999
5400.0,0.9498,0.5816,1.5314
5500.0,0.9573,0.5861,1.5434
5600.0,0.9543,0.6002,1.5545
5700.0,0.9523,0.5958,1.5481
5800.0,0.9467,0.5919,1.5386
5900.0,0.9571,0.6182,1.5753
6000.0,0.9482,0.5986,1.5468000000000002
6100.0,0.9551,0.585,1.5400999999999998
6200.0,0.956,0.5681,1.5241
6300.0,0.9477,0.5618,1.5095
6400.0,0.9504,0.5769,1.5272999999999999
6500.0,0.9518,0.5882,1.54
6600.0,0.9469,0.5654,1.5123
6700.0,0.9428,0.5693,1.5121
6800.0,0.9448,0.5938,1.5386
6900.0,0.9446,0.5866,1.5312000000000001
7000.0,0.95,0.596,1.5459999999999998
7100.0,0.9357,0.5931,1.5288
7200.0,0.9497,0.5557,1.5053999999999998
7300.0,0.9401,0.5452,1.4853
7400.0,0.9497,0.5544,1.5041
7500.0,0.9458,0.5647,1.5105
7600.0,0.9489,0.5657,1.5146
7700.0,0.9404,0.5519,1.4923
7800.0,0.9445,0.55,1.4945
7900.0,0.9478,0.5813,1.5291000000000001
8000.0,0.9398,0.5547,1.4945
8100.0,0.9516,0.5839,1.5354999999999999
8200.0,0.9404,0.6018,1.5422
8300.0,0.9343,0.5957,1.53
8400.0,0.9406,0.5914,1.532
8500.0,0.9482,0.5411,1.4893
8600.0,0.9444,0.5504,1.4948000000000001
8700.0,0.9411,0.5463,1.4874
8800.0,0.9439,0.5416,1.4855
8900.0,0.9403,0.5306,1.4708999999999999
9000.0,0.9426,0.5485,1.4910999999999999
9100.0,0.9358,0.5159,1.4517
9200.0,0.9419,0.5375,1.4794
9300.0,0.9337,0.5231,1.4567999999999999
9400.0,0.9361,0.5115,1.4476
9500.0,0.9353,0.5075,1.4428
9600.0,0.93,0.5069,1.4369
9700.0,0.9425,0.5119,1.4544000000000001
9800.0,0.9307,0.5012,1.4319
9900.0,0.9341,0.502,1.4361000000000002
10000.0,0.9337,0.5139,1.4476
10100.0,0.9321,0.4969,1.429
10200.0,0.935,0.5031,1.4381
10300.0,0.9315,0.4779,1.4094
10400.0,0.9307,0.4773,1.408
10500.0,0.934,0.4795,1.4135
10600.0,0.9303,0.4792,1.4095
10700.0,0.931,0.4712,1.4022000000000001
10800.0,0.9259,0.4689,1.3948
10900.0,0.9294,0.4715,1.4009
11000.0,0.9343,0.4678,1.4021
11100.0,0.9289,0.4661,1.395
11200.0,0.9277,0.4652,1.3929
11300.0,0.9267,0.4623,1.389
11400.0,0.9289,0.4677,1.3965999999999998
11500.0,0.9282,0.4656,1.3938000000000001
11600.0,0.9228,0.4592,1.382
11700.0,0.9226,0.4624,1.385
11800.0,0.9241,0.4609,1.385
11900.0,0.9255,0.4612,1.3867
12000.0,0.9331,0.461,1.3941000000000001
12100.0,0.9279,0.4585,1.3864
12200.0,0.9284,0.4569,1.3853
12300.0,0.9229,0.4574,1.3803
12400.0,0.9271,0.4593,1.3864
12500.0,0.9224,0.4587,1.3811
12600.0,0.9202,0.4557,1.3759000000000001
12700.0,0.9244,0.4569,1.3813
12800.0,0.9234,0.4542,1.3776
12900.0,0.9204,0.4529,1.3733
13000.0,0.9249,0.4576,1.3825
13100.0,0.9223,0.4565,1.3788
13200.0,0.9228,0.4532,1.376
13300.0,0.9268,0.4626,1.3894
13400.0,0.922,0.4554,1.3774000000000002
13500.0,0.9237,0.4512,1.3749
13600.0,0.9293,0.4556,1.3849
13700.0,0.9236,0.4561,1.3797
13800.0,0.9264,0.4533,1.3797
13900.0,0.9235,0.4588,1.3822999999999999
14000.0,0.9238,0.4574,1.3812
14100.0,0.9235,0.4455,1.369
14200.0,0.9238,0.4499,1.3737
14300.0,0.9269,0.4519,1.3788
14400.0,0.9242,0.4451,1.3693
14500.0,0.9281,0.456,1.3841
14600.0,0.9227,0.4363,1.359
14700.0,0.924,0.4179,1.3419
14800.0,0.9287,0.4399,1.3686
14900.0,0.9247,0.4432,1.3679
15000.0,0.9219,0.4255,1.3474
15100.0,0.9246,0.4138,1.3384
15200.0,0.9273,0.4274,1.3547
15300.0,0.9261,0.417,1.3431
15400.0,0.9249,0.3745,1.2994
15500.0,0.9232,0.3564,1.2796
15600.0,0.9198,0.357,1.2768
15700.0,0.9163,0.3447,1.2610000000000001
15800.0,0.9162,0.3351,1.2513
15900.0,0.9245,0.3303,1.2548
16000.0,0.9223,0.3237,1.246
16100.0,0.9243,0.3226,1.2469000000000001
16200.0,0.9201,0.3174,1.2375
16300.0,0.9217,0.3168,1.2385
16400.0,0.9207,0.3159,1.2366
16500.0,0.9178,0.3106,1.2284
16600.0,0.9185,0.3145,1.233
16700.0,0.9206,0.3122,1.2328
