step,mloss,gloss,loss
100.0,0.0,0.5481,0.5481
200.0,0.0,0.4401,0.4401
300.0,0.0,0.435,0.435
400.0,0.0,0.4309,0.4309
500.0,0.0,0.4291,0.4291
600.0,0.0,0.4259,0.4259
700.0,0.0,0.4241,0.4241
800.0,0.0,0.4234,0.4234
900.0,0.0,0.422,0.422
1000.0,0.0,0.4204,0.4204
1100.0,0.0,0.4208,0.4208
1200.0,0.0,0.4196,0.4196
1300.0,0.0,0.4177,0.4177
1400.0,0.0,0.4183,0.4183
1500.0,0.0,0.4183,0.4183
1600.0,0.0,0.4151,0.4151
1700.0,0.0,0.4159,0.4159
1800.0,0.0,0.4151,0.4151
1900.0,0.0,0.4146,0.4146
2000.0,0.0,0.4152,0.4152
2100.0,0.0,0.4146,0.4146
2200.0,0.0,0.413,0.413
2300.0,0.0,0.4141,0.4141
2400.0,0.0,0.4134,0.4134
2500.0,0.0,0.4121,0.4121
2600.0,0.0,0.4128,0.4128
2700.0,0.0,0.4124,0.4124
2800.0,0.0,0.4118,0.4118
2900.0,0.0,0.4114,0.4114
3000.0,0.0,0.4126,0.4126
3100.0,0.0,0.4114,0.4114
3200.0,0.0,0.4112,0.4112
3300.0,0.0,0.4123,0.4123
3400.0,0.0,0.4097,0.4097
3500.0,0.0,0.4114,0.4114
3600.0,0.0,0.4104,0.4104
3700.0,0.0,0.4115,0.4115
3800.0,0.0,0.4086,0.4086
3900.0,0.0,0.4099,0.4099
4000.0,0.0,0.4087,0.4087
4100.0,0.0,0.4101,0.4101
4200.0,0.0,0.4094,0.4094
4300.0,0.0,0.4088,0.4088
4400.0,0.0,0.4093,0.4093
4500.0,0.0,0.4095,0.4095
4600.0,0.0,0.4082,0.4082
4700.0,0.0,0.4072,0.4072
4800.0,0.0,0.4082,0.4082
4900.0,0.0,0.4069,0.4069
5000.0,0.0,0.4078,0.4078
5100.0,0.0,0.4078,0.4078
5200.0,0.0,0.408,0.408
5300.0,0.0,0.4067,0.4067
5400.0,0.0,0.4076,0.4076
5500.0,0.0,0.4086,0.4086
5600.0,0.0,0.4069,0.4069
5700.0,0.0,0.4071,0.4071
5800.0,0.0,0.4066,0.4066
5900.0,0.0,0.4071,0.4071
6000.0,0.0,0.4054,0.4054
6100.0,0.0,0.4059,0.4059
6200.0,0.0,0.4057,0.4057
6300.0,0.0,0.4062,0.4062
6400.0,0.0,0.4057,0.4057
6500.0,0.0,0.406,0.406
6600.0,0.0,0.4073,0.4073
6700.0,0.0,0.4049,0.4049
6800.0,0.0,0.4052,0.4052
6900.0,0.0,0.4057,0.4057
7000.0,0.0,0.4052,0.4052
7100.0,0.0,0.4047,0.4047
7200.0,0.0,0.4051,0.4051
7300.0,0.0,0.4062,0.4062
7400.0,0.0,0.4039,0.4039
7500.0,0.0,0.4048,0.4048
7600.0,0.0,0.4043,0.4043
7700.0,0.0,0.4047,0.4047
7800.0,0.0,0.4036,0.4036
7900.0,0.0,0.4046,0.4046
8000.0,0.0,0.4037,0.4037
8100.0,0.0,0.4032,0.4032
8200.0,0.0,0.4043,0.4043
8300.0,0.0,0.4036,0.4036
8400.0,0.0,0.4038,0.4038
8500.0,0.0,0.4038,0.4038
8600.0,0.0,0.4026,0.4026
8700.0,0.0,0.4042,0.4042
8800.0,0.0,0.4021,0.4021
8900.0,0.0,0.4032,0.4032
9000.0,0.0,0.4022,0.4022
9100.0,0.0,0.402,0.402
9200.0,0.0,0.4013,0.4013
9300.0,0.0,0.403,0.403
9400.0,0.0,0.402,0.402
9500.0,0.0,0.4029,0.4029
9600.0,0.0,0.4012,0.4012
9700.0,0.0,0.4018,0.4018
9800.0,0.0,0.4014,0.4014
9900.0,0.0,0.4018,0.4018
10000.0,0.0,0.4021,0.4021
10100.0,0.0,0.4012,0.4012
10200.0,0.0,0.4007,0.4007
10300.0,0.0,0.4019,0.4019
10400.0,0.0,0.4007,0.4007
10500.0,0.0,0.4014,0.4014
10600.0,0.0,0.4016,0.4016
10700.0,0.0,0.4002,0.4002
10800.0,0.0,0.4005,0.4005
10900.0,0.0,0.4016,0.4016
11000.0,0.0,0.4014,0.4014
11100.0,0.0,0.4004,0.4004
11200.0,0.0,0.4005,0.4005
11300.0,0.0,0.4007,0.4007
11400.0,0.0,0.3996,0.3996
11500.0,0.0,0.4008,0.4008
11600.0,0.0,0.4,0.4
11700.0,0.0,0.4012,0.4012
11800.0,0.0,0.3984,0.3984
11900.0,0.0,0.3995,0.3995
12000.0,0.0,0.4003,0.4003
12100.0,0.0,0.3994,0.3994
12200.0,0.0,0.3999,0.3999
12300.0,0.0,0.3986,0.3986
12400.0,0.0,0.3989,0.3989
12500.0,0.0,0.3994,0.3994
12600.0,0.0,0.3996,0.3996
12700.0,0.0,0.3993,0.3993
12800.0,0.0,0.3987,0.3987
12900.0,0.0,0.3991,0.3991
13000.0,0.0,0.3996,0.3996
13100.0,0.0,0.398,0.398
13200.0,0.0,0.3972,0.3972
13300.0,0.0,0.3978,0.3978
13400.0,0.0,0.3989,0.3989
13500.0,0.0,0.3981,0.3981
13600.0,0.0,0.3976,0.3976
13700.0,0.0,0.3974,0.3974
13800.0,0.0,0.3986,0.3986
13900.0,0.0,0.4003,0.4003
14000.0,0.0,0.3993,0.3993
14100.0,0.0,0.3979,0.3979
14200.0,0.0,0.3978,0.3978
14300.0,0.0,0.3973,0.3973
14400.0,0.0,0.3982,0.3982
14500.0,0.0,0.3987,0.3987
14600.0,0.0,0.3972,0.3972
14700.0,0.0,0.3966,0.3966
14800.0,0.0,0.397,0.397
14900.0,0.0,0.3973,0.3973
15000.0,0.0,0.3959,0.3959
15100.0,0.0,0.396,0.396
15200.0,0.0,0.3966,0.3966
15300.0,0.0,0.3973,0.3973
15400.0,0.0,0.3963,0.3963
15500.0,0.0,0.3968,0.3968
15600.0,0.0,0.3977,0.3977
15700.0,0.0,0.3964,0.3964
15800.0,0.0,0.3962,0.3962
15900.0,0.0,0.3957,0.3957
16000.0,0.0,0.3969,0.3969
16100.0,0.0,0.3966,0.3966
16200.0,0.0,0.3969,0.3969
16300.0,0.0,0.3957,0.3957
16400.0,0.0,0.3947,0.3947
16500.0,0.0,0.3956,0.3956
16600.0,0.0,0.3959,0.3959
16700.0,0.0,0.3948,0.3948
16800.0,0.0,0.3958,0.3958
16900.0,0.0,0.3946,0.3946
17000.0,0.0,0.394,0.394
17100.0,0.0,0.3953,0.3953
17200.0,0.0,0.3949,0.3949
17300.0,0.0,0.3953,0.3953
17400.0,0.0,0.396,0.396
17500.0,0.0,0.3942,0.3942
17600.0,0.0,0.3957,0.3957
17700.0,0.0,0.3939,0.3939
17800.0,0.0,0.3935,0.3935
17900.0,0.0,0.3947,0.3947
18000.0,0.0,0.3954,0.3954
18100.0,0.0,0.3933,0.3933
18200.0,0.0,0.3945,0.3945
18300.0,0.0,0.3944,0.3944
18400.0,0.0,0.3943,0.3943
18500.0,0.0,0.3928,0.3928
18600.0,0.0,0.3931,0.3931
18700.0,0.0,0.3935,0.3935
18800.0,0.0,0.3931,0.3931
18900.0,0.0,0.3947,0.3947
19000.0,0.0,0.3943,0.3943
19100.0,0.0,0.3921,0.3921
19200.0,0.0,0.3948,0.3948
19300.0,0.0,0.3928,0.3928
19400.0,0.0,0.3945,0.3945
19500.0,0.0,0.3929,0.3929
19600.0,0.0,0.3944,0.3944
19700.0,0.0,0.3928,0.3928
19800.0,0.0,0.3932,0.3932
19900.0,0.0,0.3934,0.3934
20000.0,0.0,0.3931,0.3931
20100.0,0.0,0.3929,0.3929
20200.0,0.0,0.3926,0.3926
20300.0,0.0,0.3925,0.3925
20400.0,0.0,0.3927,0.3927
20500.0,0.0,0.3924,0.3924
20600.0,0.0,0.3914,0.3914
20700.0,0.0,0.3929,0.3929
20800.0,0.0,0.3914,0.3914
20900.0,0.0,0.3931,0.3931
21000.0,0.0,0.3913,0.3913
21100.0,0.0,0.393,0.393
21200.0,0.0,0.3916,0.3916
21300.0,0.0,0.3924,0.3924
21400.0,0.0,0.3917,0.3917
21500.0,0.0,0.3925,0.3925
21600.0,0.0,0.3913,0.3913
21700.0,0.0,0.3921,0.3921
21800.0,0.0,0.3908,0.3908
21900.0,0.0,0.3914,0.3914
22000.0,0.0,0.391,0.391
22100.0,0.0,0.3921,0.3921
22200.0,0.0,0.3916,0.3916
22300.0,0.0,0.3914,0.3914
22400.0,0.0,0.3904,0.3904
22500.0,0.0,0.3925,0.3925
22600.0,0.0,0.3912,0.3912
22700.0,0.0,0.3913,0.3913
22800.0,0.0,0.3908,0.3908
22900.0,0.0,0.3909,0.3909
23000.0,0.0,0.3911,0.3911
23100.0,0.0,0.3904,0.3904
23200.0,0.0,0.3913,0.3913
23300.0,0.0,0.3909,0.3909
23400.0,0.0,0.3902,0.3902
23500.0,0.0,0.3923,0.3923
23600.0,0.0,0.3901,0.3901
23700.0,0.0,0.3893,0.3893
23800.0,0.0,0.39,0.39
23900.0,0.0,0.391,0.391
24000.0,0.0,0.3897,0.3897
24100.0,0.0,0.3895,0.3895
24200.0,0.0,0.389,0.389
24300.0,0.0,0.3907,0.3907
24400.0,0.0,0.3918,0.3918
24500.0,0.0,0.3891,0.3891
24600.0,0.0,0.39,0.39
24700.0,0.0,0.3887,0.3887
24800.0,0.0,0.3887,0.3887
24900.0,0.0,0.3898,0.3898
25000.0,0.0,0.3896,0.3896
25100.0,0.0,0.3892,0.3892
25200.0,0.0,0.3878,0.3878
25300.0,0.0,0.3903,0.3903
25400.0,0.0,0.39,0.39
25500.0,0.0,0.3882,0.3882
25600.0,0.0,0.3892,0.3892
25700.0,0.0,0.3885,0.3885
25800.0,0.0,0.3895,0.3895
25900.0,0.0,0.3889,0.3889
26000.0,0.0,0.388,0.388
26100.0,0.0,0.3875,0.3875
26200.0,0.0,0.3901,0.3901
26300.0,0.0,0.389,0.389
26400.0,0.0,0.3874,0.3874
26500.0,0.0,0.3881,0.3881
26600.0,0.0,0.3894,0.3894
26700.0,0.0,0.3871,0.3871
26800.0,0.0,0.3882,0.3882
26900.0,0.0,0.3881,0.3881
27000.0,0.0,0.3874,0.3874
27100.0,0.0,0.3881,0.3881
27200.0,0.0,0.3873,0.3873
27300.0,0.0,0.3871,0.3871
27400.0,0.0,0.3875,0.3875
27500.0,0.0,0.3875,0.3875
27600.0,0.0,0.3877,0.3877
27700.0,0.0,0.3875,0.3875
27800.0,0.0,0.387,0.387
27900.0,0.0,0.3876,0.3876
28000.0,0.0,0.3869,0.3869
28100.0,0.0,0.3879,0.3879
28200.0,0.0,0.388,0.388
28300.0,0.0,0.388,0.388
28400.0,0.0,0.387,0.387
28500.0,0.0,0.3863,0.3863
28600.0,0.0,0.3871,0.3871
28700.0,0.0,0.3874,0.3874
28800.0,0.0,0.387,0.387
28900.0,0.0,0.3863,0.3863
29000.0,0.0,0.3875,0.3875
29100.0,0.0,0.3866,0.3866
29200.0,0.0,0.387,0.387
29300.0,0.0,0.3865,0.3865
29400.0,0.0,0.3866,0.3866
29500.0,0.0,0.3866,0.3866
29600.0,0.0,0.3876,0.3876
29700.0,0.0,0.3856,0.3856
29800.0,0.0,0.3869,0.3869
29900.0,0.0,0.3869,0.3869
30000.0,0.0,0.3865,0.3865
