step,mloss,gloss,loss
100.0,0.0,0.5398,0.5398
200.0,0.0,0.4395,0.4395
300.0,0.0,0.4344,0.4344
400.0,0.0,0.4292,0.4292
500.0,0.0,0.4285,0.4285
600.0,0.0,0.4249,0.4249
700.0,0.0,0.4238,0.4238
800.0,0.0,0.421,0.421
900.0,0.0,0.4207,0.4207
1000.0,0.0,0.4194,0.4194
1100.0,0.0,0.419,0.419
1200.0,0.0,0.4184,0.4184
1300.0,0.0,0.4165,0.4165
1400.0,0.0,0.4148,0.4148
1500.0,0.0,0.4151,0.4151
1600.0,0.0,0.4143,0.4143
1700.0,0.0,0.4138,0.4138
1800.0,0.0,0.4129,0.4129
1900.0,0.0,0.4132,0.4132
2000.0,0.0,0.4125,0.4125
2100.0,0.0,0.411,0.411
2200.0,0.0,0.4114,0.4114
2300.0,0.0,0.4114,0.4114
2400.0,0.0,0.4104,0.4104
2500.0,0.0,0.4102,0.4102
2600.0,0.0,0.4098,0.4098
2700.0,0.0,0.4099,0.4099
2800.0,0.0,0.4101,0.4101
2900.0,0.0,0.4095,0.4095
3000.0,0.0,0.4087,0.4087
3100.0,0.0,0.4084,0.4084
3200.0,0.0,0.41,0.41
3300.0,0.0,0.4088,0.4088
3400.0,0.0,0.4093,0.4093
3500.0,0.0,0.408,0.408
3600.0,0.0,0.4082,0.4082
3700.0,0.0,0.4057,0.4057
3800.0,0.0,0.4074,0.4074
3900.0,0.0,0.4066,0.4066
4000.0,0.0,0.4074,0.4074
4100.0,0.0,0.4069,0.4069
4200.0,0.0,0.4078,0.4078
4300.0,0.0,0.4062,0.4062
4400.0,0.0,0.4058,0.4058
4500.0,0.0,0.4055,0.4055
4600.0,0.0,0.4054,0.4054
4700.0,0.0,0.4046,0.4046
4800.0,0.0,0.4049,0.4049
4900.0,0.0,0.4048,0.4048
5000.0,0.0,0.4048,0.4048
5100.0,0.0,0.4036,0.4036
5200.0,0.0,0.4048,0.4048
5300.0,0.0,0.4057,0.4057
5400.0,0.0,0.4041,0.4041
5500.0,0.0,0.4051,0.4051
5600.0,0.0,0.4046,0.4046
5700.0,0.0,0.4036,0.4036
5800.0,0.0,0.4052,0.4052
5900.0,0.0,0.4038,0.4038
6000.0,0.0,0.4027,0.4027
6100.0,0.0,0.4028,0.4028
6200.0,0.0,0.4039,0.4039
6300.0,0.0,0.403,0.403
6400.0,0.0,0.4028,0.4028
6500.0,0.0,0.4028,0.4028
6600.0,0.0,0.4023,0.4023
6700.0,0.0,0.4026,0.4026
6800.0,0.0,0.402,0.402
6900.0,0.0,0.4029,0.4029
7000.0,0.0,0.3998,0.3998
7100.0,0.0,0.4009,0.4009
7200.0,0.0,0.4011,0.4011
7300.0,0.0,0.4022,0.4022
7400.0,0.0,0.4019,0.4019
7500.0,0.0,0.4011,0.4011
7600.0,0.0,0.4004,0.4004
7700.0,0.0,0.4001,0.4001
7800.0,0.0,0.4007,0.4007
7900.0,0.0,0.4002,0.4002
8000.0,0.0,0.4008,0.4008
8100.0,0.0,0.4,0.4
8200.0,0.0,0.4008,0.4008
8300.0,0.0,0.4001,0.4001
8400.0,0.0,0.4001,0.4001
8500.0,0.0,0.3992,0.3992
8600.0,0.0,0.399,0.399
8700.0,0.0,0.4003,0.4003
8800.0,0.0,0.3987,0.3987
8900.0,0.0,0.3989,0.3989
9000.0,0.0,0.3997,0.3997
9100.0,0.0,0.3994,0.3994
9200.0,0.0,0.4007,0.4007
9300.0,0.0,0.3992,0.3992
9400.0,0.0,0.3992,0.3992
9500.0,0.0,0.3989,0.3989
9600.0,0.0,0.3979,0.3979
9700.0,0.0,0.3973,0.3973
9800.0,0.0,0.3978,0.3978
9900.0,0.0,0.3984,0.3984
10000.0,0.0,0.3971,0.3971
10100.0,0.0,0.3979,0.3979
10200.0,0.0,0.3973,0.3973
10300.0,0.0,0.3974,0.3974
10400.0,0.0,0.3954,0.3954
10500.0,0.0,0.3965,0.3965
10600.0,0.0,0.3972,0.3972
10700.0,0.0,0.3974,0.3974
10800.0,0.0,0.3963,0.3963
10900.0,0.0,0.3963,0.3963
11000.0,0.0,0.3971,0.3971
11100.0,0.0,0.3961,0.3961
11200.0,0.0,0.396,0.396
11300.0,0.0,0.3965,0.3965
11400.0,0.0,0.3956,0.3956
11500.0,0.0,0.3959,0.3959
11600.0,0.0,0.3943,0.3943
11700.0,0.0,0.3959,0.3959
11800.0,0.0,0.3946,0.3946
11900.0,0.0,0.3948,0.3948
12000.0,0.0,0.3943,0.3943
12100.0,0.0,0.3949,0.3949
12200.0,0.0,0.3945,0.3945
12300.0,0.0,0.3949,0.3949
12400.0,0.0,0.3951,0.3951
12500.0,0.0,0.3933,0.3933
12600.0,0.0,0.395,0.395
12700.0,0.0,0.3941,0.3941
12800.0,0.0,0.3938,0.3938
12900.0,0.0,0.3931,0.3931
13000.0,0.0,0.3937,0.3937
13100.0,0.0,0.3934,0.3934
13200.0,0.0,0.3931,0.3931
13300.0,0.0,0.393,0.393
13400.0,0.0,0.3919,0.3919
13500.0,0.0,0.3926,0.3926
13600.0,0.0,0.3927,0.3927
13700.0,0.0,0.3916,0.3916
13800.0,0.0,0.3921,0.3921
13900.0,0.0,0.3936,0.3936
14000.0,0.0,0.3937,0.3937
14100.0,0.0,0.3926,0.3926
14200.0,0.0,0.3932,0.3932
14300.0,0.0,0.3921,0.3921
14400.0,0.0,0.3915,0.3915
14500.0,0.0,0.3919,0.3919
14600.0,0.0,0.3924,0.3924
14700.0,0.0,0.3932,0.3932
14800.0,0.0,0.3917,0.3917
14900.0,0.0,0.3907,0.3907
15000.0,0.0,0.3915,0.3915
15100.0,0.0,0.391,0.391
15200.0,0.0,0.3905,0.3905
15300.0,0.0,0.3912,0.3912
15400.0,0.0,0.3909,0.3909
15500.0,0.0,0.3903,0.3903
15600.0,0.0,0.3917,0.3917
15700.0,0.0,0.3901,0.3901
