step,mloss,gloss,loss
100.0,0.7572,1.0018,1.759
200.0,0.7375,0.972,1.7095
300.0,0.7313,0.8841,1.6154
400.0,0.7333,0.7954,1.5287
500.0,0.7263,0.7479,1.4742
600.0,0.7233,0.7157,1.439
700.0,0.7279,0.6651,1.393
800.0,0.7225,0.6468,1.3693
900.0,0.7224,0.6371,1.3595000000000002
1000.0,0.7194,0.5873,1.3067000000000002
1100.0,0.7152,0.568,1.2832
1200.0,0.7133,0.5138,1.2271
1300.0,0.717,0.4942,1.2111999999999998
1400.0,0.7138,0.4696,1.1834
1500.0,0.7099,0.4598,1.1697
1600.0,0.7149,0.4483,1.1632
1700.0,0.7158,0.4271,1.1429
1800.0,0.7071,0.4066,1.1137
1900.0,0.7047,0.4027,1.1074
2000.0,0.7082,0.3991,1.1073
2100.0,0.7086,0.395,1.1036000000000001
2200.0,0.706,0.3921,1.0981
2300.0,0.7025,0.39,1.0925
2400.0,0.7026,0.3901,1.0927
2500.0,0.7084,0.3904,1.0988
2600.0,0.6975,0.3859,1.0834000000000001
2700.0,0.7082,0.3856,1.0938
2800.0,0.7045,0.3859,1.0904
2900.0,0.7018,0.3866,1.0884
3000.0,0.6998,0.3836,1.0834
3100.0,0.7061,0.3847,1.0908
3200.0,0.7063,0.3821,1.0884
3300.0,0.697,0.3824,1.0794
3400.0,0.7026,0.3817,1.0843
3500.0,0.6997,0.3809,1.0806
3600.0,0.7009,0.3808,1.0817
3700.0,0.6958,0.3802,1.076
3800.0,0.6968,0.3798,1.0766
3900.0,0.6963,0.3815,1.0778
4000.0,0.7009,0.3794,1.0803
4100.0,0.6953,0.3784,1.0737
4200.0,0.695,0.3794,1.0744
4300.0,0.6954,0.3782,1.0735999999999999
4400.0,0.6921,0.3793,1.0714000000000001
4500.0,0.695,0.3775,1.0725
4600.0,0.6896,0.3802,1.0697999999999999
4700.0,0.6886,0.3782,1.0668
4800.0,0.6891,0.3788,1.0679
4900.0,0.6856,0.3779,1.0635
5000.0,0.6854,0.3771,1.0625
5100.0,0.6876,0.3768,1.0644
5200.0,0.6887,0.377,1.0657
5300.0,0.6844,0.379,1.0634000000000001
5400.0,0.6867,0.3784,1.0651
5500.0,0.678,0.3773,1.0553000000000001
5600.0,0.6825,0.3778,1.0603
5700.0,0.6794,0.3783,1.0577
5800.0,0.6839,0.3789,1.0628
5900.0,0.6771,0.3754,1.0525
6000.0,0.6818,0.3766,1.0584
6100.0,0.6798,0.3769,1.0567
6200.0,0.679,0.3776,1.0566
6300.0,0.6763,0.376,1.0523
6400.0,0.6751,0.3755,1.0506
6500.0,0.6723,0.3751,1.0474
6600.0,0.6699,0.3742,1.0441
6700.0,0.6772,0.3757,1.0529
6800.0,0.6767,0.3784,1.0551
6900.0,0.6752,0.3742,1.0493999999999999
7000.0,0.6701,0.3762,1.0463
7100.0,0.6738,0.3753,1.0491
7200.0,0.6665,0.3753,1.0418
7300.0,0.6719,0.3769,1.0488
7400.0,0.666,0.3727,1.0387
7500.0,0.6711,0.3748,1.0459
7600.0,0.6705,0.3754,1.0459
7700.0,0.6684,0.3748,1.0432000000000001
7800.0,0.6655,0.3739,1.0394
7900.0,0.6603,0.3747,1.035
8000.0,0.6618,0.3737,1.0355
8100.0,0.6688,0.3755,1.0443
8200.0,0.6645,0.3752,1.0396999999999998
8300.0,0.6617,0.3732,1.0349
8400.0,0.6647,0.3757,1.0404
8500.0,0.6581,0.3732,1.0312999999999999
8600.0,0.658,0.3722,1.0302
