step,mloss,gloss,loss
100.0,0.5825,1.3453,1.9278
200.0,0.4767,0.9991,1.4758
300.0,0.4472,0.9756,1.4228
400.0,0.434,0.9107,1.3447
500.0,0.4236,0.8151,1.2387000000000001
600.0,0.4132,0.7205,1.1337000000000002
700.0,0.3953,0.6388,1.0341
800.0,0.381,0.5828,0.9638
900.0,0.3729,0.5446,0.9175
1000.0,0.3624,0.5147,0.8771
1100.0,0.356,0.4969,0.8529
1200.0,0.3544,0.4808,0.8351999999999999
1300.0,0.3515,0.4686,0.8201
1400.0,0.347,0.454,0.8009999999999999
1500.0,0.3442,0.4465,0.7907
1600.0,0.3408,0.4319,0.7726999999999999
1700.0,0.3385,0.4245,0.763
1800.0,0.3372,0.413,0.7502
1900.0,0.3355,0.4034,0.7389
2000.0,0.3341,0.3941,0.7282
2100.0,0.3326,0.3901,0.7227
2200.0,0.3314,0.3775,0.7089
2300.0,0.3301,0.3779,0.708
2400.0,0.33,0.3673,0.6973
2500.0,0.3271,0.3551,0.6822
2600.0,0.3251,0.3477,0.6728000000000001
2700.0,0.3246,0.3484,0.673
2800.0,0.3241,0.3352,0.6593
2900.0,0.3218,0.3342,0.6559999999999999
3000.0,0.3218,0.3467,0.6685
3100.0,0.3187,0.3225,0.6412
3200.0,0.3187,0.3194,0.6381
3300.0,0.3169,0.3091,0.626
3400.0,0.3171,0.3221,0.6392
3500.0,0.3162,0.3006,0.6168
3600.0,0.3144,0.3001,0.6145
3700.0,0.3151,0.2979,0.613
3800.0,0.3172,0.2956,0.6128
3900.0,0.3132,0.292,0.6052
4000.0,0.3128,0.2854,0.5982000000000001
4100.0,0.3098,0.2877,0.5975
4200.0,0.3108,0.2782,0.589
4300.0,0.3088,0.2788,0.5876
4400.0,0.3082,0.2819,0.5901
4500.0,0.3073,0.2704,0.5777
4600.0,0.3058,0.2713,0.5771
4700.0,0.3059,0.2699,0.5758
4800.0,0.3059,0.2622,0.5681
4900.0,0.305,0.2643,0.5692999999999999
5000.0,0.3073,0.2644,0.5717000000000001
5100.0,0.3031,0.2607,0.5638
5200.0,0.3038,0.2572,0.5609999999999999
5300.0,0.308,0.2548,0.5628
5400.0,0.3035,0.2512,0.5547
5500.0,0.3049,0.2524,0.5573
5600.0,0.302,0.2464,0.5484
5700.0,0.3002,0.2453,0.5455
5800.0,0.3,0.2464,0.5464
5900.0,0.3013,0.2425,0.5438000000000001
6000.0,0.2996,0.2402,0.5398
6100.0,0.3006,0.2387,0.5393
6200.0,0.2985,0.237,0.5355
6300.0,0.2985,0.2368,0.5353
6400.0,0.2976,0.2339,0.5315
6500.0,0.2972,0.234,0.5312
6600.0,0.2974,0.2347,0.5321
6700.0,0.2976,0.23,0.5276
6800.0,0.295,0.2309,0.5259
6900.0,0.297,0.2325,0.5295
7000.0,0.2965,0.2265,0.523
7100.0,0.2956,0.2287,0.5243
7200.0,0.2945,0.2251,0.5196
7300.0,0.2965,0.2241,0.5206
7400.0,0.2967,0.2253,0.522
7500.0,0.2932,0.2269,0.5201
7600.0,0.2948,0.2227,0.5175000000000001
7700.0,0.2934,0.2224,0.5158
7800.0,0.297,0.2197,0.5166999999999999
7900.0,0.2938,0.222,0.5158
8000.0,0.2925,0.22,0.5125
8100.0,0.2916,0.2172,0.5088
8200.0,0.2923,0.2161,0.5084
8300.0,0.2914,0.2174,0.5088
8400.0,0.2923,0.2165,0.5088
8500.0,0.2938,0.2137,0.5075000000000001
8600.0,0.2919,0.2151,0.507
8700.0,0.2911,0.2158,0.5069
8800.0,0.2935,0.2129,0.5064
8900.0,0.291,0.2134,0.5044
9000.0,0.2908,0.212,0.5028
9100.0,0.2891,0.214,0.5031
9200.0,0.2901,0.2094,0.49950000000000006
9300.0,0.2904,0.2086,0.499
9400.0,0.2899,0.2095,0.49939999999999996
9500.0,0.2888,0.2092,0.498
9600.0,0.2905,0.2083,0.4988
9700.0,0.2887,0.2078,0.49650000000000005
9800.0,0.2887,0.2076,0.4963
9900.0,0.2935,0.2072,0.5006999999999999
10000.0,0.289,0.2067,0.4957
10100.0,0.2885,0.2027,0.49119999999999997
10200.0,0.2906,0.2064,0.497
10300.0,0.294,0.2043,0.49829999999999997
10400.0,0.2894,0.2041,0.4935
10500.0,0.2885,0.2034,0.4919
10600.0,0.2934,0.21,0.5034
10700.0,0.2892,0.2028,0.492
10800.0,0.2894,0.2017,0.4911
10900.0,0.2882,0.1994,0.48760000000000003
11000.0,0.2863,0.2,0.4863
11100.0,0.289,0.1994,0.48839999999999995
11200.0,0.2863,0.1996,0.4859
11300.0,0.2886,0.2003,0.4889
11400.0,0.2886,0.1982,0.4868
11500.0,0.2864,0.1981,0.4845
11600.0,0.2864,0.1968,0.48319999999999996
11700.0,0.2864,0.2027,0.4891
11800.0,0.2875,0.1945,0.482
11900.0,0.2862,0.1952,0.48140000000000005
12000.0,0.2886,0.1988,0.48740000000000006
12100.0,0.2897,0.1971,0.4868
12200.0,0.2872,0.1948,0.482
12300.0,0.2878,0.1946,0.4824
12400.0,0.2871,0.1945,0.48160000000000003
12500.0,0.2854,0.1945,0.4799
12600.0,0.2844,0.1924,0.4768
12700.0,0.2858,0.1927,0.47850000000000004
12800.0,0.2868,0.1926,0.4794
12900.0,0.2846,0.1905,0.4751
13000.0,0.2843,0.1914,0.4757
13100.0,0.2857,0.1919,0.4776
13200.0,0.2863,0.1917,0.478
13300.0,0.2838,0.1887,0.47250000000000003
13400.0,0.2854,0.1889,0.4743
13500.0,0.2837,0.1889,0.4726
13600.0,0.2839,0.1889,0.4728
13700.0,0.2857,0.188,0.4737
13800.0,0.2854,0.1871,0.4725
13900.0,0.2853,0.1883,0.4736
14000.0,0.2842,0.1872,0.47140000000000004
14100.0,0.2848,0.1855,0.4703
14200.0,0.2855,0.1854,0.4709
14300.0,0.2833,0.1861,0.4694
14400.0,0.2842,0.1865,0.4707
14500.0,0.2824,0.1846,0.46699999999999997
14600.0,0.2835,0.1842,0.4677
14700.0,0.2824,0.1842,0.4666
14800.0,0.2847,0.1836,0.46830000000000005
14900.0,0.2838,0.1837,0.4675
15000.0,0.2833,0.1811,0.46440000000000003
15100.0,0.2841,0.1828,0.4669
15200.0,0.2836,0.1826,0.46620000000000006
15300.0,0.2831,0.1827,0.4658
15400.0,0.283,0.1819,0.4649
15500.0,0.2831,0.1806,0.4637
15600.0,0.283,0.1812,0.46419999999999995
15700.0,0.2833,0.1805,0.4638
