step,mloss,gloss,loss
100.0,0.0,0.5718,0.5718
200.0,0.0,0.4,0.4
300.0,0.0,0.3856,0.3856
400.0,0.0,0.3759,0.3759
500.0,0.0,0.3681,0.3681
600.0,0.0,0.3619,0.3619
700.0,0.0,0.3554,0.3554
800.0,0.0,0.3506,0.3506
900.0,0.0,0.3472,0.3472
1000.0,0.0,0.3431,0.3431
1100.0,0.0,0.3406,0.3406
1200.0,0.0,0.3371,0.3371
1300.0,0.0,0.3341,0.3341
1400.0,0.0,0.3304,0.3304
1500.0,0.0,0.3304,0.3304
1600.0,0.0,0.3293,0.3293
1700.0,0.0,0.3264,0.3264
1800.0,0.0,0.3234,0.3234
1900.0,0.0,0.3219,0.3219
2000.0,0.0,0.321,0.321
2100.0,0.0,0.3185,0.3185
2200.0,0.0,0.3171,0.3171
2300.0,0.0,0.3163,0.3163
2400.0,0.0,0.3148,0.3148
2500.0,0.0,0.3141,0.3141
2600.0,0.0,0.3124,0.3124
2700.0,0.0,0.3115,0.3115
2800.0,0.0,0.3108,0.3108
2900.0,0.0,0.31,0.31
3000.0,0.0,0.3085,0.3085
3100.0,0.0,0.3086,0.3086
3200.0,0.0,0.3065,0.3065
3300.0,0.0,0.3066,0.3066
3400.0,0.0,0.3048,0.3048
3500.0,0.0,0.3037,0.3037
3600.0,0.0,0.3025,0.3025
3700.0,0.0,0.3022,0.3022
3800.0,0.0,0.301,0.301
3900.0,0.0,0.3003,0.3003
4000.0,0.0,0.2999,0.2999
4100.0,0.0,0.298,0.298
4200.0,0.0,0.2978,0.2978
4300.0,0.0,0.2963,0.2963
4400.0,0.0,0.2953,0.2953
4500.0,0.0,0.2956,0.2956
4600.0,0.0,0.294,0.294
4700.0,0.0,0.2944,0.2944
4800.0,0.0,0.2933,0.2933
4900.0,0.0,0.2925,0.2925
5000.0,0.0,0.2917,0.2917
5100.0,0.0,0.2913,0.2913
5200.0,0.0,0.2903,0.2903
5300.0,0.0,0.2899,0.2899
5400.0,0.0,0.289,0.289
5500.0,0.0,0.2886,0.2886
5600.0,0.0,0.2881,0.2881
5700.0,0.0,0.2879,0.2879
5800.0,0.0,0.2867,0.2867
5900.0,0.0,0.2856,0.2856
6000.0,0.0,0.2858,0.2858
6100.0,0.0,0.2839,0.2839
6200.0,0.0,0.2832,0.2832
6300.0,0.0,0.2839,0.2839
6400.0,0.0,0.282,0.282
6500.0,0.0,0.2824,0.2824
6600.0,0.0,0.2818,0.2818
6700.0,0.0,0.2815,0.2815
6800.0,0.0,0.2807,0.2807
6900.0,0.0,0.2798,0.2798
7000.0,0.0,0.2802,0.2802
7100.0,0.0,0.2791,0.2791
7200.0,0.0,0.2783,0.2783
7300.0,0.0,0.2774,0.2774
7400.0,0.0,0.2781,0.2781
7500.0,0.0,0.2775,0.2775
7600.0,0.0,0.2763,0.2763
7700.0,0.0,0.2759,0.2759
7800.0,0.0,0.2757,0.2757
7900.0,0.0,0.2762,0.2762
8000.0,0.0,0.2749,0.2749
8100.0,0.0,0.2745,0.2745
8200.0,0.0,0.2733,0.2733
8300.0,0.0,0.2731,0.2731
8400.0,0.0,0.2726,0.2726
8500.0,0.0,0.2725,0.2725
8600.0,0.0,0.2707,0.2707
8700.0,0.0,0.2712,0.2712
8800.0,0.0,0.2717,0.2717
8900.0,0.0,0.2711,0.2711
9000.0,0.0,0.27,0.27
9100.0,0.0,0.2697,0.2697
9200.0,0.0,0.269,0.269
9300.0,0.0,0.2678,0.2678
