step,mloss,gloss,loss
100.0,0.0,0.6363,0.6363
200.0,0.0,0.4738,0.4738
300.0,0.0,0.4468,0.4468
400.0,0.0,0.4221,0.4221
500.0,0.0,0.399,0.399
600.0,0.0,0.3897,0.3897
700.0,0.0,0.3791,0.3791
800.0,0.0,0.3683,0.3683
900.0,0.0,0.3609,0.3609
1000.0,0.0,0.3565,0.3565
1100.0,0.0,0.3522,0.3522
1200.0,0.0,0.3499,0.3499
1300.0,0.0,0.3477,0.3477
1400.0,0.0,0.3466,0.3466
1500.0,0.0,0.3443,0.3443
1600.0,0.0,0.3435,0.3435
1700.0,0.0,0.3415,0.3415
1800.0,0.0,0.3411,0.3411
1900.0,0.0,0.34,0.34
2000.0,0.0,0.3388,0.3388
2100.0,0.0,0.3369,0.3369
2200.0,0.0,0.3373,0.3373
2300.0,0.0,0.3363,0.3363
2400.0,0.0,0.3353,0.3353
2500.0,0.0,0.3358,0.3358
2600.0,0.0,0.3336,0.3336
2700.0,0.0,0.3346,0.3346
2800.0,0.0,0.333,0.333
2900.0,0.0,0.3321,0.3321
3000.0,0.0,0.3312,0.3312
3100.0,0.0,0.3316,0.3316
3200.0,0.0,0.3293,0.3293
3300.0,0.0,0.3302,0.3302
3400.0,0.0,0.3295,0.3295
3500.0,0.0,0.3273,0.3273
3600.0,0.0,0.3284,0.3284
3700.0,0.0,0.3271,0.3271
3800.0,0.0,0.3269,0.3269
3900.0,0.0,0.3263,0.3263
4000.0,0.0,0.326,0.326
4100.0,0.0,0.3256,0.3256
4200.0,0.0,0.3255,0.3255
4300.0,0.0,0.3248,0.3248
4400.0,0.0,0.3244,0.3244
4500.0,0.0,0.3241,0.3241
4600.0,0.0,0.3233,0.3233
4700.0,0.0,0.3246,0.3246
4800.0,0.0,0.3235,0.3235
4900.0,0.0,0.3228,0.3228
5000.0,0.0,0.3236,0.3236
5100.0,0.0,0.3227,0.3227
5200.0,0.0,0.3233,0.3233
5300.0,0.0,0.3233,0.3233
5400.0,0.0,0.3221,0.3221
5500.0,0.0,0.3205,0.3205
5600.0,0.0,0.3211,0.3211
5700.0,0.0,0.3217,0.3217
5800.0,0.0,0.3202,0.3202
5900.0,0.0,0.3205,0.3205
6000.0,0.0,0.3198,0.3198
6100.0,0.0,0.3201,0.3201
6200.0,0.0,0.3195,0.3195
6300.0,0.0,0.3195,0.3195
6400.0,0.0,0.3188,0.3188
6500.0,0.0,0.3175,0.3175
6600.0,0.0,0.3191,0.3191
6700.0,0.0,0.3179,0.3179
6800.0,0.0,0.3184,0.3184
6900.0,0.0,0.3179,0.3179
7000.0,0.0,0.3174,0.3174
7100.0,0.0,0.3183,0.3183
7200.0,0.0,0.317,0.317
7300.0,0.0,0.317,0.317
7400.0,0.0,0.3164,0.3164
7500.0,0.0,0.3172,0.3172
7600.0,0.0,0.3168,0.3168
7700.0,0.0,0.3155,0.3155
7800.0,0.0,0.316,0.316
7900.0,0.0,0.3153,0.3153
8000.0,0.0,0.3164,0.3164
8100.0,0.0,0.3161,0.3161
8200.0,0.0,0.3155,0.3155
8300.0,0.0,0.3144,0.3144
8400.0,0.0,0.3158,0.3158
8500.0,0.0,0.3145,0.3145
8600.0,0.0,0.3146,0.3146
8700.0,0.0,0.3143,0.3143
8800.0,0.0,0.3131,0.3131
8900.0,0.0,0.3137,0.3137
9000.0,0.0,0.3133,0.3133
9100.0,0.0,0.3147,0.3147
9200.0,0.0,0.3126,0.3126
9300.0,0.0,0.3128,0.3128
9400.0,0.0,0.3127,0.3127
9500.0,0.0,0.3127,0.3127
9600.0,0.0,0.3119,0.3119
9700.0,0.0,0.3127,0.3127
9800.0,0.0,0.3117,0.3117
9900.0,0.0,0.3117,0.3117
10000.0,0.0,0.3107,0.3107
10100.0,0.0,0.3117,0.3117
10200.0,0.0,0.3114,0.3114
10300.0,0.0,0.3099,0.3099
10400.0,0.0,0.3109,0.3109
10500.0,0.0,0.3099,0.3099
10600.0,0.0,0.3097,0.3097
10700.0,0.0,0.3092,0.3092
10800.0,0.0,0.3102,0.3102
10900.0,0.0,0.3097,0.3097
11000.0,0.0,0.3092,0.3092
11100.0,0.0,0.3094,0.3094
11200.0,0.0,0.3106,0.3106
11300.0,0.0,0.3089,0.3089
11400.0,0.0,0.3082,0.3082
11500.0,0.0,0.3087,0.3087
11600.0,0.0,0.3084,0.3084
11700.0,0.0,0.3089,0.3089
11800.0,0.0,0.3081,0.3081
11900.0,0.0,0.308,0.308
12000.0,0.0,0.3068,0.3068
12100.0,0.0,0.3075,0.3075
12200.0,0.0,0.3078,0.3078
12300.0,0.0,0.3075,0.3075
12400.0,0.0,0.306,0.306
12500.0,0.0,0.3067,0.3067
12600.0,0.0,0.306,0.306
12700.0,0.0,0.3065,0.3065
12800.0,0.0,0.3067,0.3067
12900.0,0.0,0.3068,0.3068
13000.0,0.0,0.3059,0.3059
13100.0,0.0,0.306,0.306
13200.0,0.0,0.305,0.305
13300.0,0.0,0.3052,0.3052
13400.0,0.0,0.3059,0.3059
13500.0,0.0,0.3053,0.3053
13600.0,0.0,0.3043,0.3043
13700.0,0.0,0.3043,0.3043
13800.0,0.0,0.3048,0.3048
13900.0,0.0,0.3053,0.3053
14000.0,0.0,0.3042,0.3042
14100.0,0.0,0.3035,0.3035
14200.0,0.0,0.3036,0.3036
14300.0,0.0,0.3032,0.3032
14400.0,0.0,0.3035,0.3035
14500.0,0.0,0.3037,0.3037
14600.0,0.0,0.3034,0.3034
14700.0,0.0,0.3036,0.3036
14800.0,0.0,0.3026,0.3026
14900.0,0.0,0.3029,0.3029
15000.0,0.0,0.303,0.303
15100.0,0.0,0.3024,0.3024
15200.0,0.0,0.302,0.302
15300.0,0.0,0.3027,0.3027
15400.0,0.0,0.3016,0.3016
15500.0,0.0,0.3021,0.3021
15600.0,0.0,0.3016,0.3016
15700.0,0.0,0.301,0.301
15800.0,0.0,0.3012,0.3012
15900.0,0.0,0.3006,0.3006
16000.0,0.0,0.3002,0.3002
16100.0,0.0,0.3,0.3
16200.0,0.0,0.3005,0.3005
16300.0,0.0,0.3001,0.3001
16400.0,0.0,0.2996,0.2996
16500.0,0.0,0.3009,0.3009
16600.0,0.0,0.2994,0.2994
16700.0,0.0,0.2993,0.2993
16800.0,0.0,0.2988,0.2988
16900.0,0.0,0.2991,0.2991
17000.0,0.0,0.2999,0.2999
17100.0,0.0,0.2992,0.2992
17200.0,0.0,0.2992,0.2992
17300.0,0.0,0.299,0.299
17400.0,0.0,0.2985,0.2985
17500.0,0.0,0.2977,0.2977
17600.0,0.0,0.2986,0.2986
17700.0,0.0,0.2986,0.2986
17800.0,0.0,0.2975,0.2975
17900.0,0.0,0.297,0.297
18000.0,0.0,0.2975,0.2975
18100.0,0.0,0.2972,0.2972
18200.0,0.0,0.2975,0.2975
18300.0,0.0,0.2964,0.2964
18400.0,0.0,0.2972,0.2972
18500.0,0.0,0.2964,0.2964
18600.0,0.0,0.2958,0.2958
18700.0,0.0,0.2965,0.2965
18800.0,0.0,0.2962,0.2962
18900.0,0.0,0.297,0.297
19000.0,0.0,0.2964,0.2964
19100.0,0.0,0.2961,0.2961
19200.0,0.0,0.2951,0.2951
19300.0,0.0,0.2957,0.2957
19400.0,0.0,0.2952,0.2952
19500.0,0.0,0.2949,0.2949
19600.0,0.0,0.2948,0.2948
19700.0,0.0,0.2947,0.2947
19800.0,0.0,0.2943,0.2943
19900.0,0.0,0.2958,0.2958
20000.0,0.0,0.2942,0.2942
20100.0,0.0,0.2944,0.2944
20200.0,0.0,0.2944,0.2944
20300.0,0.0,0.2941,0.2941
20400.0,0.0,0.2941,0.2941
20500.0,0.0,0.2936,0.2936
20600.0,0.0,0.2945,0.2945
20700.0,0.0,0.2933,0.2933
20800.0,0.0,0.2928,0.2928
20900.0,0.0,0.2941,0.2941
21000.0,0.0,0.2929,0.2929
21100.0,0.0,0.2934,0.2934
21200.0,0.0,0.2933,0.2933
21300.0,0.0,0.2926,0.2926
21400.0,0.0,0.2924,0.2924
21500.0,0.0,0.2922,0.2922
21600.0,0.0,0.2924,0.2924
21700.0,0.0,0.2912,0.2912
21800.0,0.0,0.2923,0.2923
21900.0,0.0,0.2918,0.2918
22000.0,0.0,0.2915,0.2915
22100.0,0.0,0.2902,0.2902
22200.0,0.0,0.2918,0.2918
22300.0,0.0,0.2913,0.2913
22400.0,0.0,0.2912,0.2912
22500.0,0.0,0.2904,0.2904
22600.0,0.0,0.2904,0.2904
22700.0,0.0,0.291,0.291
22800.0,0.0,0.2901,0.2901
22900.0,0.0,0.2906,0.2906
23000.0,0.0,0.2902,0.2902
23100.0,0.0,0.29,0.29
23200.0,0.0,0.2899,0.2899
23300.0,0.0,0.2902,0.2902
23400.0,0.0,0.2895,0.2895
23500.0,0.0,0.2893,0.2893
23600.0,0.0,0.2898,0.2898
23700.0,0.0,0.2889,0.2889
23800.0,0.0,0.2892,0.2892
23900.0,0.0,0.2888,0.2888
24000.0,0.0,0.2885,0.2885
24100.0,0.0,0.2887,0.2887
24200.0,0.0,0.2889,0.2889
24300.0,0.0,0.2888,0.2888
24400.0,0.0,0.2886,0.2886
24500.0,0.0,0.2873,0.2873
24600.0,0.0,0.2873,0.2873
24700.0,0.0,0.2878,0.2878
24800.0,0.0,0.2876,0.2876
24900.0,0.0,0.2876,0.2876
25000.0,0.0,0.2881,0.2881
25100.0,0.0,0.2872,0.2872
25200.0,0.0,0.2874,0.2874
25300.0,0.0,0.2871,0.2871
25400.0,0.0,0.2869,0.2869
25500.0,0.0,0.287,0.287
25600.0,0.0,0.2867,0.2867
25700.0,0.0,0.2867,0.2867
25800.0,0.0,0.2868,0.2868
25900.0,0.0,0.2859,0.2859
26000.0,0.0,0.2868,0.2868
26100.0,0.0,0.2859,0.2859
26200.0,0.0,0.2863,0.2863
26300.0,0.0,0.2863,0.2863
26400.0,0.0,0.2857,0.2857
26500.0,0.0,0.2852,0.2852
26600.0,0.0,0.2848,0.2848
26700.0,0.0,0.2849,0.2849
26800.0,0.0,0.285,0.285
26900.0,0.0,0.2857,0.2857
27000.0,0.0,0.2848,0.2848
27100.0,0.0,0.2844,0.2844
27200.0,0.0,0.2845,0.2845
27300.0,0.0,0.2845,0.2845
27400.0,0.0,0.2845,0.2845
