step,mloss,gloss,loss
100.0,0.8618,1.0004,1.8622
200.0,0.8429,0.9587,1.8016
300.0,0.8018,0.8545,1.6562999999999999
400.0,0.7825,0.7476,1.5301
500.0,0.768,0.7262,1.4942
600.0,0.7652,0.6249,1.3901
700.0,0.7495,0.5912,1.3407
800.0,0.7377,0.5924,1.3301
900.0,0.7634,0.5966,1.3599999999999999
1000.0,0.7338,0.5714,1.3052000000000001
1100.0,0.7275,0.5718,1.2993000000000001
1200.0,0.738,0.5266,1.2646
1300.0,0.7331,0.5026,1.2357
1400.0,0.7315,0.5053,1.2368000000000001
1500.0,0.7331,0.494,1.2271
1600.0,0.7304,0.465,1.1954
1700.0,0.7222,0.4415,1.1637
1800.0,0.7151,0.4356,1.1507
1900.0,0.7299,0.4369,1.1668
2000.0,0.724,0.4271,1.1511
2100.0,0.7386,0.4215,1.1601
2200.0,0.7331,0.4132,1.1463
2300.0,0.7272,0.4205,1.1477
2400.0,0.719,0.4177,1.1367
2500.0,0.7248,0.4154,1.1402
2600.0,0.7191,0.413,1.1320999999999999
2700.0,0.7193,0.4154,1.1347
2800.0,0.7162,0.406,1.1221999999999999
2900.0,0.7233,0.408,1.1313
3000.0,0.7238,0.4296,1.1534
3100.0,0.7296,0.4107,1.1403
3200.0,0.7271,0.4069,1.134
3300.0,0.7083,0.4109,1.1192
3400.0,0.7176,0.4028,1.1204
3500.0,0.7166,0.4018,1.1184
3600.0,0.7008,0.4026,1.1034
3700.0,0.7096,0.4011,1.1107
3800.0,0.7094,0.406,1.1154000000000002
3900.0,0.7225,0.4052,1.1277
4000.0,0.6972,0.4024,1.0996000000000001
4100.0,0.7125,0.405,1.1175000000000002
4200.0,0.7088,0.4054,1.1141999999999999
4300.0,0.6955,0.3961,1.0916000000000001
4400.0,0.7091,0.4061,1.1152
4500.0,0.7027,0.4072,1.1099
4600.0,0.6981,0.3966,1.0947
4700.0,0.6976,0.3967,1.0943
4800.0,0.6898,0.3918,1.0816
4900.0,0.692,0.3999,1.0918999999999999
5000.0,0.6981,0.3995,1.0976000000000001
5100.0,0.6855,0.3945,1.08
5200.0,0.6834,0.3964,1.0798
5300.0,0.706,0.404,1.1099999999999999
5400.0,0.6907,0.3923,1.083
5500.0,0.7062,0.3977,1.1039
5600.0,0.6898,0.3966,1.0864
5700.0,0.6987,0.399,1.0977000000000001
5800.0,0.6923,0.395,1.0873
5900.0,0.7003,0.3936,1.0939
6000.0,0.682,0.3897,1.0717
6100.0,0.6948,0.3947,1.0895
6200.0,0.6807,0.3945,1.0752
6300.0,0.6984,0.3958,1.0942
6400.0,0.6938,0.3974,1.0912
6500.0,0.6817,0.3916,1.0733
6600.0,0.6969,0.3982,1.0951
6700.0,0.7002,0.3924,1.0926
6800.0,0.681,0.3883,1.0693000000000001
6900.0,0.6784,0.3911,1.0695000000000001
7000.0,0.6767,0.3905,1.0672
7100.0,0.669,0.394,1.0630000000000002
7200.0,0.6881,0.3903,1.0784
7300.0,0.6906,0.3897,1.0803
7400.0,0.6863,0.3888,1.0751
7500.0,0.6913,0.3896,1.0809
7600.0,0.6897,0.3898,1.0795
7700.0,0.681,0.3842,1.0652
7800.0,0.6767,0.3876,1.0643
7900.0,0.6895,0.3823,1.0718
8000.0,0.6751,0.386,1.0611000000000002
8100.0,0.6865,0.3867,1.0732
8200.0,0.6691,0.3855,1.0546
8300.0,0.6814,0.388,1.0694
8400.0,0.6832,0.3814,1.0646
8500.0,0.6723,0.386,1.0583
8600.0,0.6832,0.3919,1.0751
8700.0,0.6736,0.3811,1.0547
8800.0,0.6692,0.38,1.0492
8900.0,0.6968,0.3859,1.0827
9000.0,0.6794,0.3843,1.0636999999999999
9100.0,0.6683,0.3787,1.047
9200.0,0.6728,0.3804,1.0532
9300.0,0.6729,0.3829,1.0558
9400.0,0.6851,0.3817,1.0668
9500.0,0.6775,0.3917,1.0692
9600.0,0.6702,0.3804,1.0506
9700.0,0.6782,0.3799,1.0581
9800.0,0.6747,0.3802,1.0549
9900.0,0.6716,0.3813,1.0529
10000.0,0.6734,0.3767,1.0501
10100.0,0.6667,0.3779,1.0446
10200.0,0.6641,0.3755,1.0396
10300.0,0.6751,0.378,1.0531000000000001
10400.0,0.6678,0.3783,1.0461
10500.0,0.6667,0.3708,1.0375
10600.0,0.6735,0.3795,1.053
10700.0,0.6786,0.3777,1.0563
10800.0,0.671,0.3771,1.0481
10900.0,0.6733,0.3803,1.0536
11000.0,0.6791,0.3784,1.0575
11100.0,0.6598,0.3704,1.0302
11200.0,0.6614,0.3772,1.0386
11300.0,0.6721,0.3786,1.0507
11400.0,0.6577,0.3741,1.0318
11500.0,0.6545,0.3727,1.0272
11600.0,0.6594,0.37,1.0293999999999999
11700.0,0.6625,0.3707,1.0332
11800.0,0.655,0.3741,1.0291000000000001
11900.0,0.6669,0.3683,1.0352000000000001
12000.0,0.6672,0.3694,1.0366
12100.0,0.6637,0.3743,1.038
12200.0,0.6629,0.3673,1.0302
12300.0,0.6714,0.3804,1.0518
12400.0,0.6639,0.3679,1.0318
12500.0,0.6664,0.3725,1.0389
12600.0,0.6596,0.3666,1.0262
12700.0,0.6561,0.3647,1.0208
12800.0,0.6612,0.3676,1.0288
12900.0,0.6653,0.3689,1.0342
13000.0,0.6659,0.3696,1.0355
13100.0,0.6623,0.3683,1.0306
13200.0,0.6708,0.3676,1.0384
13300.0,0.6585,0.3624,1.0209
13400.0,0.6606,0.3662,1.0268
13500.0,0.6565,0.3677,1.0242
13600.0,0.6618,0.3668,1.0286
13700.0,0.6625,0.3643,1.0268
13800.0,0.6596,0.3668,1.0264
13900.0,0.6657,0.3659,1.0316
14000.0,0.6542,0.3657,1.0199
14100.0,0.6573,0.3645,1.0218
14200.0,0.6635,0.3606,1.0241
14300.0,0.652,0.3681,1.0201
14400.0,0.6484,0.3621,1.0105
14500.0,0.6479,0.359,1.0069
14600.0,0.6518,0.3631,1.0149
14700.0,0.6587,0.361,1.0196999999999998
14800.0,0.6608,0.3622,1.0230000000000001
14900.0,0.6614,0.3605,1.0219
15000.0,0.6671,0.36,1.0271
15100.0,0.6618,0.3641,1.0259
15200.0,0.6635,0.3588,1.0223
15300.0,0.6634,0.3568,1.0202
15400.0,0.677,0.3645,1.0415
15500.0,0.6659,0.3663,1.0322
15600.0,0.6692,0.3685,1.0377
15700.0,0.6569,0.3675,1.0244
15800.0,0.6508,0.3574,1.0082
15900.0,0.6535,0.3536,1.0070999999999999
16000.0,0.6542,0.3539,1.0081
16100.0,0.649,0.3537,1.0027
16200.0,0.6538,0.3546,1.0084
16300.0,0.6706,0.3664,1.037
16400.0,0.6525,0.3588,1.0112999999999999
16500.0,0.6483,0.3533,1.0016
16600.0,0.6541,0.3622,1.0163
16700.0,0.6553,0.353,1.0083
16800.0,0.663,0.358,1.021
16900.0,0.6524,0.3555,1.0079
17000.0,0.6499,0.3565,1.0064
17100.0,0.648,0.3553,1.0033
17200.0,0.6465,0.354,1.0005
17300.0,0.6497,0.3551,1.0048000000000001
17400.0,0.6538,0.3547,1.0085000000000002
17500.0,0.6494,0.3578,1.0072
17600.0,0.6553,0.3521,1.0074
17700.0,0.6526,0.3504,1.003
17800.0,0.6511,0.3534,1.0045
17900.0,0.6543,0.3564,1.0107
18000.0,0.6459,0.3528,0.9987
18100.0,0.6548,0.3516,1.0064000000000002
18200.0,0.6579,0.3573,1.0152
18300.0,0.6519,0.3577,1.0096
18400.0,0.6454,0.3481,0.9935
18500.0,0.6424,0.3457,0.9881
