iter	RMSE
0	1.115379114
1	1.082699846
2	1.051350885
3	1.021533001
4	0.9944418271
5	0.968697395
6	0.9437076036
7	0.9207870414
8	0.9003675917
9	0.8798945938
10	0.8601579241
11	0.8424028601
12	0.825885715
13	0.8096155278
14	0.7941025742
15	0.7798957384
16	0.766805734
17	0.7537610225
18	0.7425044845
19	0.7294275924
20	0.7189126504
21	0.7076681478
22	0.698324156
23	0.6889395625
24	0.6794400573
25	0.6711663525
26	0.6632424466
27	0.6543345166
28	0.6472773081
29	0.6411439065
30	0.6356744141
31	0.629157461
32	0.6226046074
33	0.6175497842
34	0.6111578571
35	0.606385896
36	0.6001116304
37	0.5949090594
38	0.5904996671
39	0.586164114
40	0.5826074944
41	0.579005084
42	0.575706469
43	0.5711538694
44	0.5682262308
45	0.5652967373
46	0.5626485076
47	0.5594749258
48	0.5560505679
49	0.5537818332
50	0.5513494816
51	0.5489410679
52	0.5455935613
53	0.5437282236
54	0.541222371
55	0.5389922165
56	0.5370413128
57	0.534388809
58	0.5326984251
59	0.5310677517
60	0.5284183663
61	0.5271040018
62	0.5256728412
63	0.5239236167
64	0.5214481556
65	0.5197573236
66	0.5183752674
67	0.515850097
68	0.5149231852
69	0.5138549598
70	0.5118223062
71	0.5105127138
72	0.5091766245
73	0.508088534
74	0.5068097562
75	0.5044513149
76	0.5033966189
77	0.5018314856
78	0.5006151591
79	0.4996009571
80	0.4985813833
81	0.497296215
82	0.4963199829
83	0.495607482
84	0.4942217974
85	0.4935347421
86	0.4928415759
87	0.4917736945
88	0.4912175942
89	0.4902328561
90	0.4885052721
91	0.4872125915
92	0.4866503714
93	0.4854042154
94	0.4847132272
95	0.48385299
96	0.4828670121
97	0.481929262
98	0.4808567664
99	0.4798105105
100	0.4790631143
101	0.4785792514
102	0.4778284526
103	0.4770450735
104	0.4766144923
105	0.475865946
106	0.4753573108
107	0.474711521
108	0.4737867854
109	0.4731799353
110	0.4723885669
111	0.4714875088
112	0.4708853159
113	0.4703994187
114	0.4694302628
115	0.4690204862
116	0.4686716018
117	0.4681049811
118	0.4676380061
119	0.4670932523
120	0.4662154092
121	0.4657311021
122	0.4652028411
123	0.4649167401
124	0.4646508221
125	0.4641655874
126	0.4634624653
127	0.4630386193
128	0.462532381
129	0.4621327537
130	0.461617896
131	0.4612232418
132	0.4607238892
133	0.4601626779
134	0.4596348185
135	0.4591875657
136	0.4587637095
137	0.4580039215
138	0.4572076304
139	0.4566590139
140	0.45597451
141	0.4556000676
142	0.4552496627
143	0.4549964111
144	0.4546056985
145	0.4540105326
146	0.4535867991
147	0.4528336617
148	0.4524973826
149	0.4520220367
150	0.4514101552
151	0.4509692294
152	0.4504102184
153	0.4500793992
154	0.4495544425
155	0.4489860497
156	0.4486690009
157	0.4485425647
158	0.4478949917
159	0.4474694681
160	0.4471907046
161	0.4466881944
162	0.4460580429
163	0.4457077493
164	0.4455037026
165	0.4450720992
166	0.4445929844
167	0.4441043031
168	0.443829008
169	0.4432580008
170	0.442857226
171	0.4423557924
172	0.4420360103
173	0.4415666724
174	0.4409686564
175	0.4406395897
176	0.4403107704
177	0.439865087
178	0.4395160951
179	0.4389758511
180	0.4385250795
181	0.438012347
182	0.4376979499
183	0.437294615
184	0.4367348316
185	0.4364021636
186	0.4360453342
187	0.4356959667
188	0.4354013974
189	0.4350418715
190	0.4347290764
191	0.4343777123
192	0.4341442817
193	0.4337967778
194	0.4333109401
195	0.4329063162
196	0.432404869
197	0.4318910777
198	0.4315677253
199	0.4310946865
200	0.4308337468
201	0.430492381
202	0.4300032424
203	0.4296701917
204	0.4293674838
205	0.4289446192
206	0.4285902691
207	0.4283448269
208	0.4280569459
209	0.4277295853
210	0.4274280312
211	0.4270658784
212	0.4267858346
213	0.4263596628
214	0.4261194293
215	0.4257878032
216	0.4254559692
217	0.4251040915
218	0.4249004171
219	0.4245587408
220	0.4242652229
221	0.4240144616
222	0.4237299045
223	0.4233934026
224	0.4230372624
225	0.4228306668
226	0.4223730521
227	0.4220357388
228	0.421799146
229	0.421477993
230	0.4211860734
231	0.4209295919
232	0.4205716768
233	0.4202519945
234	0.4200277986
235	0.4197586362
236	0.4194188573
237	0.4191855335
238	0.4187567764
239	0.4184314514
240	0.4180900375
241	0.417810039
242	0.4176274938
243	0.4174039056
244	0.4170299036
245	0.4168071001
246	0.4165803545
247	0.4162587927
248	0.4159129504
249	0.4156274663
250	0.4151814689
251	0.4149194872
252	0.4147181513
253	0.4142733721
254	0.4138833227
255	0.4135987463
256	0.4133360798
257	0.413098745
258	0.4127906639
259	0.4125120897
260	0.4121881117
261	0.4117215503
262	0.4114399005
263	0.4111486077
264	0.4108569911
265	0.4105761451
266	0.4102674042
267	0.4099960256
268	0.4096830951
269	0.4093594354
270	0.409077431
271	0.4088767266
272	0.4086028381
273	0.408280718
274	0.4080116036
275	0.4077273481
276	0.4074248007
277	0.4072061036
278	0.4069354879
279	0.4066467817
280	0.4062729999
281	0.4060629796
282	0.4058455338
283	0.4055893881
284	0.4054079502
285	0.4052016929
286	0.4049684683
287	0.4047202269
288	0.4044314973
289	0.404231336
290	0.4040099519
291	0.4037373846
292	0.4035524908
293	0.4033219591
294	0.4031618824
295	0.4027820199
296	0.4026332357
297	0.4023553812
298	0.4020962104
299	0.401770788
300	0.4015222248
301	0.4012895961
302	0.4010066755
303	0.4007410233
304	0.4005080983
305	0.4001246196
306	0.3998362891
307	0.3995465884
308	0.3993199635
309	0.3989886782
310	0.398764359
311	0.3985067757
312	0.3982766955
313	0.3980703467
314	0.3977832281
315	0.3975647322
316	0.3973530892
317	0.397099673
318	0.3969290008
319	0.3966396916
320	0.3964701089
321	0.3962679389
322	0.3960959419
323	0.3959121902
324	0.3957192166
325	0.3955022904
326	0.3952567853
327	0.3950443817
328	0.3948848811
329	0.3947356529
330	0.3945030404
331	0.3942947243
332	0.3940979677
333	0.3938356758
334	0.3936274828
335	0.3933866984
336	0.3932025253
337	0.3929635103
338	0.3927152711
339	0.392576457
340	0.3923896831
341	0.3922012
342	0.3919826358
343	0.3918058675
344	0.3916560678
345	0.39149091
346	0.3912641426
347	0.3910877392
348	0.3909055981
349	0.3906774664
350	0.3904422086
351	0.3903134299
352	0.3900671339
353	0.389873681
354	0.3896175132
355	0.3894484364
356	0.3892978681
357	0.3890394285
358	0.3888376101
359	0.3886605435
360	0.3884764877
361	0.3883185733
362	0.3881284812
363	0.3879382165
364	0.3876752867
365	0.3875566479
366	0.3873391387
367	0.3872154101
368	0.3870566316
369	0.3867896225
370	0.3866317703
371	0.3864432855
372	0.3862354445
373	0.3860881695
374	0.3858833983
375	0.3856603727
376	0.3854366712
377	0.3852511303
378	0.3850349984
379	0.3848838518
380	0.3846906427
381	0.3845812895
382	0.3844247617
383	0.3841582951
384	0.3839284354
385	0.3837564181
386	0.3836096662
387	0.3833231947
388	0.3831749393
389	0.3830067808
390	0.3828208418
391	0.3826632353
392	0.382528267
393	0.3823222712
394	0.3821283133
395	0.3819291775
396	0.3817707859
397	0.3815972964
398	0.3815001067
399	0.3812502457
400	0.3810923771
401	0.3809660543
402	0.3807794069
403	0.3805706971
404	0.3803222639
405	0.3801630231
406	0.3800237355
407	0.3798911464
408	0.3797912503
409	0.3795397007
410	0.3792951876
411	0.3790727839
412	0.3789186111
413	0.3786806076
414	0.3785436816
415	0.3784185124
416	0.3782542329
417	0.3780563181
418	0.3779397117
419	0.3776975877
420	0.3774803828
421	0.3772996657
422	0.3770445928
423	0.3769212602
424	0.3767512179
425	0.37658516
426	0.3763305307
427	0.3761167338
428	0.3759782458
429	0.3757947118
430	0.3756545644
431	0.3754790928
432	0.375345801
433	0.3751798446
434	0.3750205878
435	0.3748685709
436	0.3747418605
437	0.3745408878
438	0.3743561885
439	0.3742574094
440	0.3740858781
441	0.3739393178
442	0.3737934679
443	0.3735858821
444	0.3734531234
445	0.3733390733
446	0.3731395205
447	0.3729915098
448	0.3727642483
449	0.3726563209
450	0.3725086882
451	0.3723361351
452	0.3721254486
453	0.371969165
454	0.3718581499
455	0.3716749325
456	0.3715381771
457	0.3713866275
458	0.3712025594
459	0.3710896
460	0.3709467053
461	0.3707630735
462	0.3706316054
463	0.3704449233
464	0.3703362007
465	0.3701639092
466	0.3700563809
467	0.3699361878
468	0.3698066966
469	0.3697066779
470	0.369500436
471	0.3693288454
472	0.3692198491
473	0.3690304124
474	0.3688051772
475	0.3686609093
476	0.3685727062
477	0.3684315485
478	0.3682409562
479	0.3681221699
480	0.3679808393
481	0.3678412971
482	0.3677150199
483	0.3675523903
484	0.3674239128
485	0.3672917607
486	0.3671620491
487	0.3670655863
488	0.3669283215
489	0.3668205515
490	0.3666672569
491	0.366481364
492	0.3663575793
493	0.3661529889
494	0.3659596024
495	0.365794578
496	0.3656732117
497	0.3655264967
498	0.365424957
499	0.3652503963
500	0.365138815
501	0.3649654413
502	0.364873601
503	0.3647470065
504	0.3645763737
505	0.3644777809
506	0.3643582991
507	0.3642393778
508	0.3641458748
509	0.3639910501
510	0.3638711588
511	0.3636706527
512	0.3635487048
513	0.3633951444
514	0.3632689286
515	0.3631375956
516	0.3629821178
517	0.362819161
518	0.3626596574
519	0.3625148998
520	0.3623729409
521	0.3622182164
522	0.362093619
523	0.3619388027
524	0.3618197618
525	0.3616521893
526	0.3615216102
527	0.361408585
528	0.3612707147
529	0.361133897
530	0.3609862024
531	0.3608498072
532	0.360740732
533	0.3605986116
534	0.3605105962
535	0.3604288035
536	0.3603390783
537	0.3602037437
538	0.3601077557
539	0.3600021964
540	0.3598781225
541	0.3597615782
542	0.3596137277
543	0.3594535246
544	0.3593564642
545	0.3592252134
546	0.3591734284
547	0.3590022214
548	0.3588993401
549	0.3588174761
550	0.3587588665
551	0.3586189247
552	0.3585183849
553	0.3583785704
554	0.3582632815
555	0.3581175986
556	0.3580451838
557	0.3579400694
558	0.3578532881
559	0.3577731218
560	0.3576492269
561	0.3575529198
562	0.3573916421
563	0.357229465
564	0.3570461628
565	0.3569508159
566	0.3568493824
567	0.3567800231
568	0.356672629
569	0.3565440571
570	0.3564072994
571	0.3562944599
572	0.3561753886
573	0.3560292753
574	0.3559644918
575	0.3558717274
576	0.3557473566
577	0.3555907824
578	0.3555099949
579	0.355429059
580	0.3553195172
581	0.3551154627
582	0.3550260308
583	0.3549272768
584	0.3548143294
585	0.3547066762
586	0.3546455253
587	0.3545113661
588	0.354361667
589	0.3542272531
590	0.3541047507
591	0.3539705414
592	0.3538314717
593	0.3536740139
594	0.3535289783
595	0.3534234079
596	0.3533519825
597	0.3532291348
598	0.3530835726
599	0.3529480856
600	0.3528497532
601	0.3527461538
602	0.3525861762
603	0.3524151686
604	0.3523321756
605	0.3522069733
606	0.3520696099
607	0.3519251731
608	0.3517850471
609	0.3517231038
610	0.3516071368
611	0.3514803431
612	0.3513390795
613	0.3512311122
614	0.3511532751
615	0.3510730458
616	0.3509708204
617	0.3508667258
618	0.3507566397
619	0.3506067722
620	0.3504736477
621	0.3503446912
622	0.3502787092
623	0.3501165514
624	0.3500225832
625	0.3499088113
626	0.349786249
627	0.3496779315
628	0.3495437548
629	0.349468827
630	0.3493572388
631	0.3492162475
632	0.3491159046
633	0.3489566906
634	0.348838469
635	0.348778648
636	0.3486418595
637	0.3485346808
638	0.3484594835
639	0.3483077292
640	0.3481952408
641	0.3480728445
642	0.3479405035
643	0.347820462
644	0.3477193935
645	0.3476028741
646	0.3474892381
647	0.3473936626
648	0.3472750726
649	0.3471642221
650	0.3470594785
651	0.3469767335
652	0.3468446433
