iter	Passed	Remaining
0	6	13099
1	10	10806
2	14	9827
3	18	9242
4	21	8676
5	25	8399
6	28	8099
7	31	7915
8	35	7794
9	38	7747
10	42	7698
11	46	7642
12	49	7582
13	53	7614
14	57	7645
15	62	7716
16	66	7788
17	70	7758
18	74	7729
19	77	7683
20	80	7614
21	84	7578
22	87	7541
23	91	7502
24	94	7484
25	98	7448
26	101	7423
27	104	7394
28	108	7360
29	111	7333
30	114	7300
31	118	7288
32	121	7264
33	125	7245
34	128	7234
35	132	7207
36	135	7189
37	138	7163
38	142	7141
39	145	7127
40	149	7124
41	152	7111
42	155	7098
43	159	7083
44	162	7078
45	165	7050
46	169	7031
47	172	7011
48	175	7005
49	179	6983
50	182	6974
51	186	6982
52	190	6980
53	193	6970
54	196	6954
55	199	6942
56	203	6931
57	206	6917
58	209	6901
59	213	6892
60	216	6882
61	219	6876
62	223	6868
63	226	6860
64	230	6858
65	233	6844
66	236	6836
67	240	6830
68	243	6821
69	247	6818
70	250	6811
71	254	6804
72	257	6798
73	260	6787
74	264	6784
75	267	6775
76	270	6765
77	274	6760
78	277	6759
79	281	6752
80	284	6749
81	288	6749
82	291	6741
83	295	6736
84	298	6730
85	302	6724
86	305	6720
87	309	6716
88	312	6719
89	316	6713
90	319	6707
91	323	6700
92	326	6696
93	329	6688
94	333	6689
95	337	6686
96	340	6682
97	343	6670
98	347	6663
99	350	6661
100	353	6650
101	357	6644
102	360	6639
103	364	6638
104	367	6633
105	370	6627
106	374	6629
107	378	6624
108	381	6624
109	385	6623
110	388	6615
111	392	6609
112	395	6600
113	398	6589
114	401	6581
115	404	6576
116	408	6567
117	411	6562
118	414	6558
119	418	6556
120	421	6549
121	425	6547
122	428	6541
123	432	6536
124	435	6532
125	438	6527
126	442	6531
127	446	6526
128	449	6524
129	455	6550
130	458	6548
131	462	6542
132	465	6538
133	469	6533
134	472	6532
135	476	6525
136	479	6519
137	482	6513
138	486	6509
139	489	6506
140	493	6502
141	496	6497
142	500	6495
143	503	6493
144	507	6488
145	510	6484
146	514	6479
147	517	6476
148	520	6471
149	524	6465
150	527	6462
151	531	6461
152	534	6457
153	538	6450
154	541	6444
155	545	6442
156	548	6440
157	551	6433
158	555	6428
159	558	6422
160	561	6418
161	565	6413
162	569	6413
163	572	6408
164	575	6405
165	579	6399
166	582	6396
167	586	6395
168	589	6391
169	593	6385
170	596	6381
171	599	6376
172	603	6375
173	607	6374
174	611	6374
175	614	6370
176	618	6367
177	621	6362
178	624	6356
179	628	6351
180	631	6345
181	634	6341
182	638	6337
183	641	6332
184	645	6330
185	648	6325
186	651	6319
187	655	6316
188	658	6312
189	662	6309
190	665	6305
191	669	6301
192	672	6296
193	675	6291
194	679	6287
195	682	6283
196	686	6279
197	689	6273
198	692	6267
199	696	6264
200	699	6259
201	702	6253
202	706	6251
203	709	6247
204	713	6246
205	716	6244
206	720	6238
207	723	6232
208	726	6228
209	730	6226
210	733	6222
211	737	6220
212	740	6215
213	744	6211
214	747	6205
215	750	6200
216	753	6195
217	757	6189
218	760	6185
219	764	6182
220	768	6183
221	771	6181
222	774	6175
223	778	6169
224	781	6166
225	784	6161
226	788	6157
227	792	6156
228	795	6152
229	799	6149
230	802	6147
231	806	6143
232	809	6142
233	813	6140
234	817	6139
235	821	6137
236	824	6134
237	828	6131
238	831	6126
239	834	6122
240	838	6119
241	841	6115
242	845	6110
243	848	6108
244	852	6104
245	855	6100
246	858	6093
247	861	6088
248	865	6084
249	868	6080
250	872	6076
251	875	6071
252	878	6067
253	881	6062
254	885	6062
255	889	6059
256	892	6056
257	896	6052
258	899	6048
259	903	6043
260	906	6037
261	909	6035
262	913	6031
263	916	6026
264	919	6023
265	923	6018
266	927	6016
267	930	6014
268	934	6012
269	937	6007
270	941	6003
271	944	5999
272	947	5995
273	951	5991
274	954	5988
275	958	5984
276	961	5981
277	965	5977
278	968	5974
279	972	5971
280	975	5969
281	979	5966
282	982	5961
283	986	5958
284	989	5953
285	992	5949
286	996	5946
287	999	5942
288	1003	5940
289	1006	5937
290	1010	5934
291	1013	5930
292	1017	5929
293	1020	5924
294	1024	5919
295	1027	5916
296	1031	5912
297	1034	5910
298	1038	5908
299	1041	5904
300	1045	5900
301	1048	5897
302	1052	5894
303	1056	5891
304	1059	5887
305	1062	5883
306	1066	5879
307	1069	5877
308	1073	5875
309	1076	5871
310	1080	5867
311	1083	5863
312	1087	5859
313	1090	5856
314	1094	5854
315	1097	5850
316	1101	5848
317	1105	5845
318	1108	5841
319	1111	5837
320	1115	5834
