step,mloss,gloss,loss
100.0,0.0,0.5837,0.5837
200.0,0.0,0.4824,0.4824
300.0,0.0,0.4784,0.4784
400.0,0.0,0.4795,0.4795
500.0,0.0,0.4786,0.4786
600.0,0.0,0.4779,0.4779
700.0,0.0,0.4774,0.4774
800.0,0.0,0.4783,0.4783
900.0,0.0,0.476,0.476
1000.0,0.0,0.4756,0.4756
1100.0,0.0,0.4772,0.4772
1200.0,0.0,0.4766,0.4766
1300.0,0.0,0.4752,0.4752
1400.0,0.0,0.476,0.476
1500.0,0.0,0.4754,0.4754
1600.0,0.0,0.4745,0.4745
1700.0,0.0,0.4752,0.4752
1800.0,0.0,0.4753,0.4753
1900.0,0.0,0.4764,0.4764
2000.0,0.0,0.4763,0.4763
2100.0,0.0,0.4738,0.4738
2200.0,0.0,0.4743,0.4743
2300.0,0.0,0.4747,0.4747
2400.0,0.0,0.4752,0.4752
2500.0,0.0,0.4749,0.4749
2600.0,0.0,0.4742,0.4742
2700.0,0.0,0.4745,0.4745
2800.0,0.0,0.4755,0.4755
2900.0,0.0,0.4744,0.4744
3000.0,0.0,0.4744,0.4744
3100.0,0.0,0.4753,0.4753
3200.0,0.0,0.4755,0.4755
3300.0,0.0,0.4743,0.4743
3400.0,0.0,0.4746,0.4746
3500.0,0.0,0.474,0.474
3600.0,0.0,0.473,0.473
3700.0,0.0,0.4728,0.4728
3800.0,0.0,0.474,0.474
3900.0,0.0,0.4742,0.4742
4000.0,0.0,0.4751,0.4751
4100.0,0.0,0.4735,0.4735
4200.0,0.0,0.4733,0.4733
4300.0,0.0,0.4729,0.4729
4400.0,0.0,0.473,0.473
4500.0,0.0,0.4733,0.4733
4600.0,0.0,0.4741,0.4741
4700.0,0.0,0.4725,0.4725
4800.0,0.0,0.4739,0.4739
4900.0,0.0,0.4726,0.4726
5000.0,0.0,0.4738,0.4738
5100.0,0.0,0.4714,0.4714
5200.0,0.0,0.473,0.473
5300.0,0.0,0.4727,0.4727
5400.0,0.0,0.4709,0.4709
5500.0,0.0,0.4722,0.4722
5600.0,0.0,0.4727,0.4727
5700.0,0.0,0.4726,0.4726
5800.0,0.0,0.4717,0.4717
5900.0,0.0,0.4712,0.4712
6000.0,0.0,0.4711,0.4711
6100.0,0.0,0.4701,0.4701
6200.0,0.0,0.4709,0.4709
6300.0,0.0,0.4714,0.4714
6400.0,0.0,0.4714,0.4714
6500.0,0.0,0.4707,0.4707
6600.0,0.0,0.4705,0.4705
6700.0,0.0,0.4713,0.4713
6800.0,0.0,0.4704,0.4704
6900.0,0.0,0.4707,0.4707
7000.0,0.0,0.4705,0.4705
7100.0,0.0,0.4716,0.4716
7200.0,0.0,0.47,0.47
7300.0,0.0,0.4703,0.4703
7400.0,0.0,0.4706,0.4706
7500.0,0.0,0.47,0.47
7600.0,0.0,0.4702,0.4702
7700.0,0.0,0.4677,0.4677
7800.0,0.0,0.4685,0.4685
7900.0,0.0,0.4684,0.4684
8000.0,0.0,0.4704,0.4704
8100.0,0.0,0.4675,0.4675
8200.0,0.0,0.4679,0.4679
8300.0,0.0,0.4686,0.4686
8400.0,0.0,0.469,0.469
8500.0,0.0,0.4674,0.4674
8600.0,0.0,0.4688,0.4688
8700.0,0.0,0.4673,0.4673
8800.0,0.0,0.468,0.468
8900.0,0.0,0.4674,0.4674
9000.0,0.0,0.4686,0.4686
9100.0,0.0,0.467,0.467
9200.0,0.0,0.4666,0.4666
9300.0,0.0,0.4665,0.4665
9400.0,0.0,0.4682,0.4682
9500.0,0.0,0.4688,0.4688
9600.0,0.0,0.4666,0.4666
9700.0,0.0,0.4653,0.4653
9800.0,0.0,0.4667,0.4667
9900.0,0.0,0.4653,0.4653
10000.0,0.0,0.465,0.465
10100.0,0.0,0.4656,0.4656
10200.0,0.0,0.465,0.465
10300.0,0.0,0.4674,0.4674
10400.0,0.0,0.4648,0.4648
10500.0,0.0,0.4642,0.4642
10600.0,0.0,0.4638,0.4638
10700.0,0.0,0.4641,0.4641
10800.0,0.0,0.4641,0.4641
10900.0,0.0,0.4644,0.4644
11000.0,0.0,0.4635,0.4635
11100.0,0.0,0.4647,0.4647
